"","Gene","DIS","HC","DIS.1","HC.1","DIS.2","HC.2","DIS.3","HC.3","DIS.4","HC.4","DIS.5","HC.5","DIS.6","HC.6","DIS.7","HC.7","DIS.8","HC.8","DIS.9","HC.9"
"2556","SEMA4F","2.2971911","1.9323123","1.7744229","2.6056667","2.2401953","3.0360573","0.7525579","0.7525579","2.3868065","1.8817882","1.9069947","2.6127831","2.6575796","2.7654660","1.8363052","2.7790566","1.8606836","2.2053092","2.3473526","3.3048574"
"2557","EPHA4","3.538171","2.380161","4.254136","4.581582","3.799378","6.088838","2.546511","3.205634","5.812205","3.081351","3.972900","3.114642","3.301852","5.913282","2.554647","4.821732","3.520118","2.735220","2.347353","4.664355"
"2558","RPL23P5","0.7525579","1.9323123","0.7525579","3.4688396","3.9913217","2.4428016","2.8923952","2.9897092","1.9373531","3.8101270","3.3086836","1.7296725","2.6575796","0.7525579","3.3307484","0.7525579","1.8606836","2.9340089","2.9160413","0.7525579"
"2559","MSTN","4.1757801","2.9574281","4.4425242","2.7949227","2.5398295","2.8671704","2.0592681","3.3917001","2.3868065","3.6919449","3.1263856","4.9341808","4.6606419","2.5782952","0.7525579","2.3687058","3.3789754","4.6216089","4.0758708","3.0214838"
"2560","INPP1","5.044611","7.168582","4.935139","6.976274","4.237703","5.616451","4.285085","6.445642","5.159176","6.940208","4.879591","4.439878","4.066980","5.757688","4.470579","6.041212","4.461344","4.098995","5.088618","5.693906"
"2561","HIBCH","3.396482","4.759212","4.660305","5.067305","4.237703","5.028127","4.669411","5.332031","4.410052","4.114646","3.613334","4.543406","4.207194","4.490642","3.597105","4.043046","3.873592","3.396528","3.614268","3.539215"
"2562","SESTD1","3.784329","5.452610","3.465072","5.229459","2.981825","4.529781","4.285085","4.803360","3.673527","5.120234","4.169966","3.675976","3.301852","4.156325","2.796179","4.236570","3.520118","2.934009","3.973893","3.539215"
"2563","GTDC1","2.605904","3.663582","2.885848","4.719307","3.156853","4.731620","2.546511","4.441612","2.386807","3.691945","3.126386","3.367366","3.301852","3.433214","2.252961","4.236570","2.285373","1.800567","2.347353","3.739536"
"2564","TTL","3.538171","4.026297","3.779997","4.196641","3.692563","4.357148","3.586007","3.834426","3.365070","3.810127","3.469418","3.765278","3.826508","3.534718","3.330748","4.174953","3.043394","2.735220","3.127219","3.427029"
"2565","POLR1B","3.784329","2.957428","3.465072","2.959766","3.576881","3.036057","2.892395","2.989709","2.709356","2.873025","3.469418","3.367366","3.423937","2.928622","4.182476","3.088668","3.378975","3.106516","3.470325","3.021484"
"2566","CHCHD5","6.218210","5.046756","5.482890","4.581582","5.111904","3.932428","5.384122","3.834426","5.341578","4.704103","5.540303","5.301033","4.884904","5.122594","6.191199","4.696357","5.389657","5.790068","5.828629","5.434768"
"2567","CKAP2L","2.6059041","0.7525579","2.6903021","0.7525579","3.1568528","0.7525579","0.7525579","1.9517962","0.7525579","1.8817882","2.3467337","2.1103054","2.4289389","0.7525579","2.2529610","0.7525579","1.8606836","2.2053092","1.9074628","0.7525579"
"2568","IL1A","2.8524908","3.5182232","1.7744229","2.1048121","2.2401953","2.8671704","2.0592681","2.9897092","2.3868065","0.7525579","1.9069947","2.3884445","2.4289389","0.7525579","2.2529610","0.7525579","1.8606836","0.7525579","0.7525579","0.7525579"
"2569","ARHGAP15","3.5381714","3.6635817","3.2063711","2.7949227","4.5720741","3.0360573","2.5465114","5.3320308","2.9657941","3.9191134","2.9152593","3.8492192","3.3018516","0.7525579","3.1751950","2.9429937","2.8374695","2.9340089","3.4703246","2.6600353"
"2570","ICA1L","2.297191","2.701703","2.458561","3.755507","2.240195","4.160643","2.059268","2.731247","1.937353","2.313370","2.346734","2.612783","2.428939","3.323608","2.252961","2.779057","1.860684","1.800567","1.907463","2.660035"
"2571","COMMD1","6.238644","6.935788","6.528844","6.910972","6.855565","6.618948","6.873415","6.689208","6.861629","7.587321","6.611177","7.184386","7.109601","6.407769","6.941327","6.786900","6.508079","6.588317","6.967777","6.519466"
"2572","MERTK","5.971937","6.606069","5.694305","6.302721","6.915240","6.194693","5.965649","7.428256","6.259817","6.847999","5.798247","6.077966","5.042041","6.407769","6.210747","5.265581","4.592637","4.727007","5.576337","6.492472"
"2573","TMEM87B","4.482149","4.478667","4.442524","4.804269","5.372950","5.590811","4.391307","5.648374","4.833050","5.478093","4.497156","4.773502","4.611240","4.333282","4.470579","4.236570","4.316724","3.931529","3.744682","4.455512"
"2574","SLC20A1","5.762036","5.860422","6.206039","6.273320","5.810615","6.142737","5.704052","6.048674","6.347620","5.792987","5.225789","5.386724","6.007781","6.166247","7.053798","6.320683","6.765107","5.524637","6.207929","6.287873"
"2575","TIA1","4.897788","5.371806","4.319743","5.581334","5.439586","5.065892","4.170278","6.445642","5.298102","5.329915","4.342946","4.934181","5.149542","4.333282","5.215925","4.510014","4.712872","4.175832","4.569496","4.338378"
"2576","PCYOX1","4.845304","5.412776","4.709932","5.718638","5.678980","6.160265","3.586007","5.936913","4.139755","5.546825","5.351927","5.815212","6.203090","5.875931","4.653905","6.124432","4.592637","4.565845","4.343989","5.693906"
"2577","TMEM178A","7.087818","5.830518","7.146634","6.317200","3.898622","7.005688","6.404202","5.458947","4.489832","5.026967","6.739625","5.043877","4.754603","6.446486","3.330748","7.434300","6.540806","5.161866","6.375640","6.532776"
"2578","THUMPD2","4.258780","4.129045","4.849256","3.839308","4.237703","4.866267","4.170278","4.983344","4.036856","3.081351","3.743726","5.008235","4.884904","3.323608","3.330748","4.459364","3.221581","3.931529","3.744682","3.739536"
"2579","ATOH8","1.8695870","1.9323123","1.7744229","0.7525579","1.8267192","0.7525579","0.7525579","0.7525579","0.7525579","1.8817882","1.9069947","2.1103054","2.1449566","1.7099105","2.9992626","1.7171348","0.7525579","2.2053092","3.1272190","1.7568953"
"2580","GCKR","0.7525579","1.9323123","1.7744229","1.7255874","0.7525579","1.7643355","3.1651273","1.9517962","2.9657941","1.8817882","0.7525579","1.7296725","0.7525579","1.7099105","0.7525579","2.0934393","2.5922210","0.7525579","0.7525579","2.4311608"
"2581","MRPL33","5.375540","5.918428","5.982869","5.740300","5.471781","6.656475","6.592949","7.417892","5.648886","5.927885","5.609250","6.043238","6.389723","6.150696","5.528185","5.758122","6.195066","5.123853","6.229991","5.829596"
"2582","RBKS","1.869587","3.171294","2.690302","4.064349","3.898622","4.294618","3.165127","3.955492","2.709356","3.081351","2.915259","3.675976","3.301852","3.433214","1.836305","3.646404","2.285373","2.205309","2.916041","2.660035"
"2583","BABAM2","2.605904","2.380161","2.458561","2.794923","2.539829","2.442802","2.059268","1.951796","2.386807","2.624621","2.346734","2.612783","2.850722","2.357313","1.836305","2.590921","2.285373","2.205309","2.916041","2.146860"
"2584","FAM133EP","0.7525579","2.3801610","3.5781714","2.1048121","2.2401953","3.7567554","0.7525579","3.5554806","3.1801967","0.7525579","1.9069947","3.7652778","2.6575796","0.7525579","0.7525579","2.9429937","0.7525579","2.2053092","0.7525579","0.7525579"
"2585","FOSL2","3.892851","2.957428","3.465072","2.382018","4.792603","3.036057","3.756412","1.951796","5.613875","2.624621","4.701116","3.765278","5.281400","4.024753","3.597105","2.942994","5.068468","4.384152","3.127219","3.304857"
"2586","PLB1","0.7525579","0.7525579","1.7744229","1.7255874","2.5398295","1.7643355","2.8923952","0.7525579","2.3868065","0.7525579","1.9069947","2.3884445","2.8507220","0.7525579","1.8363052","2.0934393","1.8606836","1.8005672","0.7525579","0.7525579"
"2587","TRMT61B","3.396482","3.795188","3.206371","2.382018","2.539829","3.756755","2.892395","4.266608","3.180197","3.081351","3.613334","4.328237","4.272423","3.204410","3.920034","2.590921","3.221581","3.259265","4.170987","3.021484"
"2588","WDR43","4.411515","4.993676","4.892840","4.762418","5.303076","5.138565","6.798690","5.143243","5.613875","4.977957","4.879591","4.543406","4.925832","4.217794","4.013038","4.295624","4.712872","4.248719","4.075871","3.994723"
"2589","SMARCAL1","2.605904","2.701703","3.055759","2.605667","3.156853","2.442802","2.546511","2.405829","2.709356","2.624621","2.663162","3.246892","3.536047","2.928622","2.796179","2.368706","2.837470","2.499280","2.663877","2.660035"
"2590","ARHGEF33","0.7525579","0.7525579","1.7744229","1.7255874","1.8267192","2.1568344","0.7525579","1.9517962","1.9373531","0.7525579","0.7525579","1.7296725","1.7554762","2.5782952","0.7525579","2.0934393","0.7525579","1.8005672","1.9074628","0.7525579"
"2591","MCFD2","2.2971911","0.7525579","1.7744229","1.7255874","2.5398295","2.1568344","2.0592681","1.9517962","1.9373531","2.6246208","1.9069947","2.1103054","1.7554762","2.0837121","1.8363052","1.7171348","1.8606836","1.8005672","1.9074628","1.7568953"
"2592","CALM2"," 7.694600","10.241809"," 7.787947"," 9.722140"," 8.996910","10.529927"," 8.560762","11.337851"," 7.638167"," 9.605018"," 8.774529"," 7.848984"," 7.661922"," 9.230037"," 6.322773"," 9.554858"," 7.018456"," 7.256382"," 7.733701"," 9.131775"
"2593","BCYRN1","0.7525579","1.9323123","0.7525579","0.7525579","0.7525579","3.1858263","0.7525579","0.7525579","0.7525579","0.7525579","1.9069947","0.7525579","0.7525579","0.7525579","0.7525579","2.5909209","0.7525579","0.7525579","0.7525579","0.7525579"
"2594","EPCAM","0.7525579","4.0262974","1.7744229","2.6056667","1.8267192","4.0885891","2.0592681","3.3917001","0.7525579","4.0202623","2.3467337","2.9678552","2.4289389","3.2044100","0.7525579","2.9429937","0.7525579","2.4992798","2.6638765","4.8031259"
