"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"QTRT1"," 71","131"," 32"," 62"," 76"," 53"," 37"," 65","159","120"
"TMED1","102"," 79"," 50"," 23"," 57"," 77"," 39"," 78"," 99"," 70"
"C19orf38","2","2","7","1","5","2","5","4","1","4"
"HIKESHIP2"," 12","190","155","116"," 79","123","240","313","140","103"
"ZNF331"," 9","25"," 5","11","19"," 7","15","29","36","22"
"GSK3A","0","0","1","1","1","1","1","2","1","2"
"ZNF574","11"," 9"," 9"," 3"," 9"," 9"," 7","15"," 6"," 5"
"DEDD2","3","3","0","1","3","5","1","0","6","3"
"GIPR","0","0","0","0","0","0","0","2","3","1"
"QPCTL","48","21","13","14","42","24","45","39","58","27"
"FBXO46","6","4","4","2","7","5","4","9","7","5"
"SEMA6B","22"," 5","11"," 3"," 8"," 9","10","49","12","43"
"ZNF121"," 9","24"," 8","13","35","19","16","14","17","14"
"ZNF829"," 2"," 7"," 2"," 4","10"," 4"," 6"," 5"," 7"," 4"
"KANK2","12","35"," 8"," 4","29","14","21","29","18","10"
"SPACA6","1","4","2","0","9","1","3","8","3","5"
"FFAR2","0","1","4","3","0","0","1","0","1","1"
"EXOC3L2","2","3","0","0","1","1","3","7","2","4"
"PRMT1","297","264","152","139","170","200","119","333","271","248"
"PAFAH1B3","145"," 64"," 36"," 23"," 17"," 71"," 72","131"," 75","125"
"ZNF146","1","0","0","1","1","1","1","1","1","0"
"PRKD2","20","19","17","25","31","17","20","23","41","24"
"MRPL34","17"," 8","13"," 2"," 8","15"," 8"," 9"," 9"," 5"
"NTN5","0","0","0","0","2","0","0","0","2","1"
"MAP4K1"," 3"," 5","10"," 1"," 5"," 3","15","13"," 7","11"
"EIF3K","192"," 97","152","193","107","217","113","129","169","203"
"LGALS4","0","1","0","0","5","0","4","4","2","2"
"EML2"," 3"," 5"," 6"," 4","15","15"," 4"," 4","19","13"
