"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"SELENBP1"," 4"," 1"," 3"," 1"," 0"," 6","16"," 7"," 1"," 5"
"PSMB4"," 891"," 816","1521"," 746"," 548"," 809"," 935"," 997"," 713"," 998"
"CGN","1","1","0","4","1","1","0","0","2","2"
"TUFT1"," 8"," 4","11"," 9","13"," 5"," 8"," 4","13","12"
"POGZ","57","54","30","25","29","23","56","75","59","73"
"RPS6KA1","11"," 9","54"," 1"," 5","10","12","19"," 7","18"
"RPL23AP24","0","0","0","4","2","0","0","8","3","1"
"DHDDS","24","24","26","53","58","59","27","51","44","47"
"ACP1"," 27"," 78","105"," 30"," 18"," 35","139"," 36"," 33"," 37"
"ALKAL2","3","0","0","0","3","2","1","1","0","1"
"TRAPPC12","74","50","30","20","29","33","68","38","56","69"
"ADI1","22","40","25"," 3"," 8","18","64","26","16","23"
"SNTG2"," 2"," 0"," 0"," 1"," 0"," 0","13"," 0"," 0"," 1"
"TMSB4XP2","24"," 6","34"," 9"," 6","15","10"," 0"," 4"," 4"
"RPL30P3","15"," 0"," 9"," 9"," 1"," 4"," 2"," 0"," 1"," 2"
"LINC00298","2","0","0","0","0","1","1","0","0","1"
"TMEM18","1","0","2","2","0","1","1","1","1","1"
"RPS7"," 4"," 2","14"," 4"," 3"," 6"," 2"," 2"," 3"," 1"
"SMC6","14","15","15"," 8","12"," 9","34","32","17","11"
"SH3YL1"," 5","16"," 5"," 7"," 8"," 6","10"," 4","15"," 8"
"LRATD1","15","11"," 3"," 3"," 2","41"," 2"," 4","39"," 2"
"ASAP2","47","43","12","14","16","21","46","37","36","47"
"NTSR2"," 3","19"," 0"," 0"," 1","11"," 2"," 0"," 1","17"
"HADHA"," 99","117","134","134","118","172","176","101","160","193"
"SOX11","68","20","22"," 2"," 7","13","28","33","17","31"
"SRD5A2"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0"," 0"
"OSR1"," 4"," 0"," 2"," 0"," 1"," 0","12"," 1"," 0"," 1"
"TTC32"," 3"," 7"," 6"," 1"," 3","10"," 7"," 6"," 3"," 7"
"DPYSL5","29"," 6"," 4"," 4"," 5","32","26","19","30","30"
"EFR3B"," 5","14"," 4","28"," 4","14","29"," 7","18","11"
"GREB1","4","1","3","6","4","4","3","5","4","3"
"LINC01946","0","3","0","0","0","0","0","0","0","0"
"GEN1","2","5","4","0","2","2","4","3","1","1"
"VSNL1","37"," 2"," 2"," 8"," 1"," 9"," 9","14"," 8","90"
"LDAH","15","33","29","10","11","18","30","20","12","22"
"MATN3","21"," 1"," 1"," 2"," 2"," 4"," 4"," 8"," 6"," 5"
"HS1BP3","10"," 4"," 3"," 4"," 6"," 6","23"," 8"," 5","12"
"ATAD2B","1","2","1","1","1","1","3","1","1","1"
"SLC25A5P2","11"," 2"," 8"," 2"," 0"," 7"," 6"," 5"," 0"," 4"
"SRBD1","15","35","25","24","23","25","46","13","14"," 9"
"LTBP1"," 2"," 5","18"," 3"," 3"," 1"," 4"," 1"," 3"," 2"
"CAPN14","0","1","0","0","1","0","1","0","1","4"
"MSH2"," 8","12"," 7"," 3"," 5"," 4","14"," 3"," 2"," 6"
"PRKCE"," 4"," 4"," 5"," 4"," 7"," 3"," 5"," 5"," 7","16"
"KCNG3","0","0","0","0","0","0","1","0","0","0"
"STRN"," 2"," 9"," 5"," 5"," 4"," 6","10"," 2"," 3"," 4"
"CENPA","16","25","29"," 1"," 1"," 8","43","27"," 2"," 5"
"DBIL5P2","0","2","0","0","1","0","2","1","1","1"
"EFEMP1"," 77","561","360","167","215","175","139"," 28","182"," 36"
"EHD3"," 6"," 7"," 2"," 3"," 6"," 7","24","13","13","18"
"PAPOLG","1","4","8","2","3","2","8","1","3","1"
"HADHB","130","147","245","113","167","146","203","105","131","161"
"FEZ2"," 29"," 76"," 53"," 26"," 12"," 44","111"," 10"," 16"," 13"
"VDAC2P5","29","53","80","73","31","69","35","72","50","52"
"ANXA4"," 1","11","21"," 2"," 5"," 5","28"," 3"," 6"," 4"
"ACYP2","15","38","12","14","23","27","39"," 9","22","31"
"WDPCP","3","9","4","4","2","4","9","7","6","4"
"COX7A2L"," 8"," 9","34","22","10","13","22"," 8","13"," 9"
"HMGN2P21","0","0","0","0","0","0","0","6","0","1"
"SFXN5","61","25","16","18","31","56","99","45","43","36"
"ZNF638","12","27","18","22"," 9","18","33","16","13","15"
"ATL2","10","20","17"," 8","12","10","22","14","15","13"
"PPP4R3B","11","19","27","12","13","18","25","16","19","15"
"SLC1A4"," 44"," 76"," 19","  9"," 24"," 24"," 40"," 41"," 45","122"
"USP34","1","3","6","2","3","3","5","1","2","2"
"ETAA1","3","6","4","1","8","3","7","5","7","4"
"ZFP36L2"," 429"," 143"," 279","  47"," 270"," 414","1247"," 257"," 385"," 191"
"RPS20P10"," 0"," 0","34"," 6"," 6"," 1"," 2"," 6"," 3"," 6"
"LBH"," 7"," 5"," 7"," 4","12"," 4"," 5","11","19","17"
"CD207"," 9"," 4"," 5"," 5"," 3"," 0","18","11","11","22"
"DNAAF10","1","1","4","0","0","2","4","0","1","1"
"RPL21P37","5","0","3","1","0","2","0","3","0","2"
"RPLP0P6","3","1","1","2","3","2","1","2","0","3"
"EVA1A"," 6"," 0","32"," 0"," 0"," 0","53"," 2"," 0"," 1"
"HNRNPLL"," 5","32","17"," 6"," 8","12","26"," 8"," 7"," 4"
"PNO1","18","34","25","25","20","20","68","39","37","24"
"PNPT1","35","44","24","21","24","26","37","29","29","32"
"SLC35F6"," 42"," 32"," 29","  4"," 18"," 27","102"," 32"," 23"," 23"
"IFITM3P9","0","0","0","0","1","0","0","0","0","0"
"POLE4","11","16","84","49","75","28","83","21","11","23"
"EGR4","0","0","0","0","0","0","0","1","0","0"
"FUNDC2P2","2","1","2","2","1","2","1","4","0","1"
"REG1A","19"," 0"," 0"," 1"," 0","64"," 0"," 0"," 3"," 0"
"GEMIN6"," 9"," 7","12"," 3"," 7"," 7","17"," 5"," 4"," 5"
"LINC01126","0","2","1","0","1","0","0","0","0","1"
"CLEC4F","1","0","2","1","1","0","0","0","1","2"
"ASB3"," 7","58","19","16","33","19","31"," 8","20","19"
"EPAS1"," 4","30"," 8","26","39","36","18"," 9","22"," 9"
"CAMKMT","1","9","2","1","2","5","7","2","9","6"
"RAB11FIP5","17"," 9","10"," 8","13","18","44"," 7","23","25"
"ADD2","38","16","11","13","27","12","38","40","38","55"
"KCMF1","10","20","23","15"," 8","15","26","17","10"," 7"
"BCL11A","2","1","1","0","0","0","1","0","1","2"
"TMSB10","14285"," 7746","10051","18928","17662"," 6679","20655"," 7909","15411","10983"
"RPL12P19","5","0","0","0","0","0","0","0","0","1"
"LSM3P3","0","2","0","2","1","0","0","0","0","1"
"PAIP2B"," 3"," 6"," 4"," 3"," 2","28"," 5"," 1"," 0","24"
"NCAPH"," 5"," 6","14"," 2"," 1"," 2"," 5","10"," 2"," 3"
"PKDCC"," 8"," 7"," 5"," 1"," 4"," 2"," 7"," 8"," 3","10"
"TCF7L1","2","3","1","1","1","1","7","4","3","5"
"RPS2P17","0","2","4","0","3","2","1","0","1","2"
"HK2","19","16","89","70","89","24","59","17","45"," 6"
"CCDC85A","0","0","1","1","4","2","1","0","1","4"
"GALNT14","0","1","1","0","0","0","3","0","1","2"
"CNOT11","27","26","27"," 4","11","11","29","25","18","20"
"TACR1"," 4"," 0"," 3"," 0"," 0"," 1","87"," 4"," 0"," 6"
"PPM1B","0","1","1","0","0","0","1","0","0","0"
"CTBP2P5","0","1","3","0","0","0","1","0","0","0"
"ATP1B3P1","3","4","0","2","1","2","1","2","2","1"
"YPEL5","206","231","239","193","144","197","487","208","185","203"
"GGT8P","71","16"," 3"," 4"," 3","11"," 1"," 0","54"," 3"
"PAFAH1B1P1","11"," 4"," 8"," 1"," 5"," 7"," 5"," 5"," 5"," 2"
"PLEK"," 1"," 3","57"," 3"," 9"," 3","14"," 2"," 4"," 5"
"RPL31","3","1","5","5","2","2","2","1","2","4"
"TMEM131"," 3","16"," 4"," 2"," 2"," 5","10"," 6"," 7"," 2"
"C2orf49","31","32","53","65","40","35","39","45","39","31"
"WBP1P2","6","3","0","0","0","1","0","7","0","0"
"RNF149"," 9","12","36"," 6"," 4"," 9","37","12"," 9"," 8"
"GCFC2","3","7","3","6","3","3","9","4","2","2"
"DNAH6","5","0","1","0","0","0","2","1","0","1"
"LAPTM4A"," 193","1086","1104"," 289"," 204"," 232","1158"," 182"," 241"," 104"
"KRCC1","11","31","27"," 8","11","13","42","14"," 4"," 9"
"FAM110C"," 0"," 1"," 0"," 0","11"," 1"," 1"," 2"," 2"," 1"
"FBXO48","0","1","1","0","1","1","4","1","1","0"
"CREG2","1","0","0","0","0","1","0","0","0","3"
"OTX1","0","3","1","0","1","0","1","1","3","0"
"UBXN2A"," 4"," 9"," 8"," 4"," 4"," 4","16"," 5"," 2"," 3"
"GPR45","12"," 3"," 7"," 0","15"," 3"," 8","15"," 3","16"
"TSPYL6","10","19"," 5"," 3"," 9"," 3","20"," 5","11"," 9"
"ALK","0","0","1","0","0","0","1","0","3","1"
"TGFA"," 1"," 1"," 7"," 0","14"," 4"," 0"," 4"," 8"," 5"
"SRSF7"," 84","156","140"," 92"," 91"," 69","135","139","115"," 85"
"LDHAP7"," 5"," 3","19"," 9"," 2"," 6"," 2"," 0"," 4"," 1"
"APLF"," 4"," 7"," 3"," 4"," 8"," 3","19"," 2"," 4"," 2"
"EMX1","0","0","0","0","0","0","0","1","0","0"
"PPP1R21","16","32","36","14","15","21","59","15","17","22"
"TSGA10","0","1","0","0","0","1","0","0","0","1"
"SH3RF3-AS1"," 96"," 19"," 31"," 12","  9"," 26"," 23"," 70"," 39","105"
"MFSD9"," 7"," 6"," 4"," 1"," 5"," 5"," 7","10"," 5","11"
"IL1B"," 7","33","34"," 1"," 2"," 6","17"," 5","13"," 3"
"CRIM1","1","0","1","1","0","1","0","1","0","1"
"SUCLG1"," 6","18","26","20"," 7","18","14","22","11","18"
"RPS12P4"," 6"," 0","11"," 5"," 1","20"," 1"," 4"," 0"," 7"
"EML4","10","27","36"," 7","21","11","26","13","16","13"
"SMC3P1"," 52"," 59"," 48"," 71"," 95"," 75"," 64"," 95"," 80","129"
"SH3RF3","31","10","16","10"," 5","10","18","15","18","35"
"CIAO1"," 91"," 96"," 74"," 37"," 87"," 72","108","107"," 95","101"
"COA5","160"," 88"," 87"," 42"," 71"," 85"," 94"," 85"," 53"," 82"
"GALM"," 1"," 8","35"," 6"," 7","10","35"," 4"," 7"," 2"
"LYPD1","45","20","32"," 8","26","35","19","79","20","22"
"DUSP2"," 3"," 1"," 4"," 1"," 1"," 1","13"," 5"," 0"," 5"
"ACTR3","22","38","37","18","13","23","52","39","29","15"
"DDX18","10","24","15","15"," 9","20","17","12","10"," 6"
"SMYD1","0","0","0","0","0","1","0","0","0","0"
"DDX11L2"," 0"," 0"," 1"," 1"," 8"," 1"," 2","11"," 8","24"
"NXPH2","0","0","1","0","0","0","1","0","0","1"
"RDH14","3","1","3","0","1","1","4","1","0","1"
"BTF3P5","11","18","18","25"," 5"," 4","20"," 0"," 4"," 6"
"LINC01114","1","0","1","1","2","2","1","2","2","2"
"EN1","18","20"," 8"," 3"," 9","13","28"," 1"," 2"," 5"
"CCDC148","1","4","1","2","2","1","4","0","1","2"
"C2orf76","10"," 7"," 5"," 9"," 3"," 5","11"," 2"," 3"," 3"
"RPL23AP7","21"," 9","29","69","31","22","15","13","20","25"
"CYP27C1","2","0","1","0","0","0","1","2","0","0"
"SPR","40","21","38","20","60","21","73","64","20","32"
"NDUFAF2P1","541","338","445","570","449","170","468","487","368","492"
"MAP3K20","2","3","4","2","3","2","7","2","2","2"
"TMEM185B"," 5"," 3"," 6"," 1"," 8"," 6","13"," 2"," 6"," 2"
"XIAPP3"," 61"," 86"," 86"," 45"," 40"," 56","189"," 63"," 84"," 64"
"SOWAHC","38","17","10"," 3","10","16","28","14","18","16"
"DYNLT3P2","17","16","14","10"," 4","37"," 9"," 0"," 1"," 3"
"DRC1","1","0","2","1","1","1","3","0","0","0"
"MGAT4A"," 6","10","34"," 4"," 5"," 6","22","11"," 4"," 6"
"ANKRD44-IT1"," 0"," 2","12"," 2"," 1"," 2"," 9"," 4"," 6"," 7"
"NPAS2"," 0"," 3"," 0"," 1"," 8"," 1"," 3"," 3","10"," 4"
"FHL2","21"," 1","69","35"," 9"," 3","27","12","13"," 7"
"PTPN4"," 5","11"," 3"," 3"," 5"," 5"," 7"," 9"," 4"," 6"
"SNRNP200","119"," 70"," 46"," 72"," 50"," 70"," 79"," 48"," 86","131"
"TOMM40P4","5","1","3","0","1","1","0","4","1","1"
"IMP4","50","37","48","28","41","34","33","36","40","39"
"LRP1B"," 3"," 3"," 3"," 7"," 5"," 7"," 4","10","13"," 6"
"KCNJ3","1","0","0","1","0","1","0","0","0","2"
"GALNT13"," 3"," 0"," 0"," 0"," 1"," 1","10"," 2"," 0"," 9"
"ERBB4","11"," 0"," 1"," 1","13"," 6"," 6"," 2"," 1","38"
"RAB1A","12","27","62","10"," 6","16","36","12"," 9"," 5"
"HAT1","20","77","34","23","12","32","59","46","26","19"
"PTPN18","12","17","21"," 2","12","19","18"," 8","12","20"
"PLCL1"," 6"," 2"," 1"," 1"," 1","12"," 3","12"," 4","36"
"TGFBRAP1"," 5","10"," 7"," 5"," 9"," 6"," 9"," 6"," 8"," 6"
"STK17B"," 6"," 5"," 6"," 2"," 7"," 5","26"," 2"," 2"," 2"
"MGAT5"," 8","11","18"," 5"," 8","11","22","12"," 7","10"
"ARPP19P2","0","0","0","1","0","2","0","0","0","0"
"C2orf80","29"," 3"," 2"," 6"," 0","14"," 2"," 3"," 9","15"
"FARSB","10","41","15","19","12","10","27"," 6"," 4"," 4"
"HNMT"," 24"," 76","122"," 27"," 23"," 48","122"," 13"," 18"," 30"
"DNER","231"," 50"," 10"," 15"," 11","150","135","135","141","617"
"MCM6"," 58"," 78","103"," 22"," 18"," 36","130","119"," 60"," 57"
"RPL27P7"," 0"," 6","10"," 8"," 2"," 4"," 6","11"," 1"," 5"
"CEP68","13","13","10"," 6"," 8","10","17","17","19","32"
"COPS8","110","290","105","146","112","178","332"," 66","135","127"
"RAPGEF4","16","14","10","17","19","17"," 9","57","14","76"
"SEPTIN10","33","72","33","21","29","37","66","48","28","22"
"METAP1D","3","5","5","3","2","3","6","2","4","2"
"TBR1","0","1","1","0","0","0","0","0","0","0"
"FIGN"," 7","12"," 5","10","11"," 7"," 8"," 7","11"," 2"
"KCTD18","35","23","20","11","13","23","35","29","29","34"
"CNRIP1"," 12"," 75"," 55"," 20"," 31"," 41","370"," 58"," 39"," 67"
"SNRPA1P1","3","2","0","3","6","1","1","2","4","4"
"ADAM23","82","66","13","15","13","32","46","92","45","22"
"SPOPL","3","5","4","6","6","4","7","3","5","5"
"PAFAH1B1P2","12"," 9","21","10","10","15","15","22"," 9"," 5"
"ACRP1","0","0","0","0","1","0","2","2","3","5"
"TMEM163"," 2"," 1"," 3"," 1"," 0"," 2","19"," 4"," 2","15"
"SPAG16-DT","0","0","0","0","1","0","0","0","0","2"
"SGO2"," 4","13"," 9"," 1"," 2"," 4","12","10"," 4"," 6"
"CWC22","17","37","32","26","19","26","35","44","31","25"
"LLPHP3"," 52"," 87"," 58"," 47"," 47"," 66","110","163","143"," 61"
"HECW2","1","1","0","0","0","2","2","1","1","1"
"SPRED2","32","47","43","46","33","41","90","65","48","14"
"HSPA9P1","5","3","4","6","3","3","1","1","4","3"
"RFTN2","22","53"," 7","33","14","37","43","43","18","43"
"INHBB","16"," 4"," 2"," 1","10","17"," 6"," 2","30"," 9"
"LNPK"," 9","20","20"," 9","14","16","14"," 9"," 9"," 4"
"YWHAEP5"," 0","22"," 2"," 2"," 3"," 1","11"," 4"," 1"," 1"
"CSRNP3","6","4","3","2","2","4","6","3","4","4"
"DLX1","3","3","3","1","1","2","4","1","4","2"
"ZNF385B","0","0","0","0","0","0","0","0","0","0"
"RALB"," 70"," 47","120"," 74"," 39"," 64","118"," 95"," 73"," 68"
"ARL4C","14","32","26","37","39","51","49"," 6","55"," 8"
"SMYD5","17","35","18","37","34","24","48","44","46","43"
"TPM3P8","0","1","0","0","0","0","2","0","0","0"
"MDH1B"," 1","19"," 2"," 4"," 2"," 3"," 8"," 2"," 4"," 3"
"BARD1"," 7","25","11"," 8","22","10","19","24","10"," 7"
"DLX2","9","2","0","2","1","1","4","1","2","1"
"FMNL2"," 92"," 87"," 68","150"," 46","125"," 58","180","172","195"
"NUP35"," 3","14"," 8"," 5"," 9"," 7"," 8"," 7"," 2"," 3"
"UBE2E3"," 64","182"," 58"," 33"," 17"," 60","188"," 94"," 34"," 61"
"UNC80","0","0","0","0","0","0","0","0","0","3"
"FAM133DP","18","30","21","23","20","16","16","42"," 5","18"
"C1QL2"," 0"," 0"," 0"," 0"," 0"," 1","13"," 0"," 1"," 1"
"PECR"," 6","10","17","10"," 8","12","13"," 5"," 4"," 7"
"ACADL","2","7","1","0","2","1","3","0","0","1"
"FAM124B","0","0","3","0","1","0","3","0","1","0"
"ITPRID2","30","51","37","59","32","48","27","32","32","16"
"DNAH7","0","0","0","0","2","0","1","0","0","1"
"NCKAP1"," 5","18"," 4"," 5"," 5"," 7","16","11","11"," 6"
"DPP10"," 0"," 1"," 0"," 1"," 0"," 2"," 2","15"," 0"," 2"
"PIKFYVE","14","25","12","12","12","17","12","14","19","11"
"VWC2L","0","0","0","0","0","0","0","2","1","1"
"EPB41L5"," 8","13"," 3","12"," 8","11","17","10","10","11"
"TMEM169","18"," 6"," 4"," 3"," 1"," 5"," 2","16"," 9","17"
"FTH1P20"," 9"," 1"," 8"," 7"," 6"," 4","12"," 0"," 1"," 2"
"GYPC","44","53","58"," 3","19","53","73","16","19","16"
"ANAPC1","2","6","7","4","8","3","7","3","3","2"
"PDCL3","28","10","35","24","14"," 9","15","21","21","28"
"SGPP2","0","1","0","0","0","0","1","1","1","1"
"CRACDL","1","1","2","1","0","2","0","2","1","2"
"NANOGP2","0","2","0","0","2","1","1","0","0","1"
"TANC1","37","20","16","67","47","18","20","56","35","25"
"CPO"," 6","10"," 0"," 0"," 1"," 1"," 2"," 0"," 2"," 3"
"STEAP3"," 56"," 42"," 55","  7"," 43"," 57","272","  8"," 73"," 30"
"TMEFF2","54"," 0"," 1"," 2"," 0","15"," 0","41"," 1","68"
"BANF1P3","0","5","0","4","0","5","0","0","2","2"
"STAM2","18","41","25","17","11","19","22","12","17"," 9"
"INO80D","13","11"," 7","11","20"," 7","15","13","18","15"
"FASTKD2"," 5"," 5"," 3","14","10"," 4","11"," 5"," 9"," 8"
"XRCC5","319","212","332","147","266","141","246","204","206","250"
"RPS15AP14","0","2","7","0","2","2","0","0","0","1"
"POU3F3","114"," 77"," 48"," 13"," 13"," 73"," 45"," 67"," 53"," 76"
"CYTIP","11"," 5","67","13","31","11","41","16","18"," 7"
"TANK"," 5"," 1"," 6"," 4"," 3"," 3","17"," 2"," 3"," 2"
"RGPD8","1","1","0","0","1","1","1","0","1","0"
"BTF3L4P2"," 29","124","127"," 38"," 32"," 76","162"," 44"," 24","  9"
"CALCRL"," 4","14"," 3"," 1"," 0"," 2"," 4","17"," 1","10"
"ANKRD44"," 5","14"," 8"," 4"," 5"," 7"," 6"," 3"," 8","13"
"PSMD14","26","17","50","28","14","20","27","27","40","34"
"SH3BP4","33","12"," 9"," 9","10","18","27","40","41","52"
"SLC4A10","0","0","0","0","0","1","0","0","0","1"
"CRYGA","0","0","0","0","0","0","0","2","0","5"
"ITM2C","2042"," 675"," 340"," 856"," 238","2526","2563"," 830","2502","3204"
"LINC01963","58","64","59","10","21","33","30","66","35","43"
"KLF7"," 5","16","16"," 9","17","10","17"," 3","11"," 6"
"MTERF4"," 8","25","10","14"," 9"," 6","14"," 5"," 7"," 7"
"SLC39A10","1","1","1","0","0","1","1","0","0","0"
"TFPI","24","33","14","28"," 2","22","53","68"," 6","12"
"AHCTF1P1","0","2","1","1","0","0","0","1","0","0"
"GPR39","4","0","8","0","2","0","2","0","0","1"
"CCDC115","29","43","22"," 6","15","20","27","17","16","20"
"SLC25A12"," 3","13"," 6"," 4"," 5"," 7"," 7"," 1"," 3"," 2"
"RPE"," 71","235","118"," 58"," 48"," 67","111"," 66"," 73"," 65"
"OSBPL6"," 3","10"," 3"," 0"," 1"," 3"," 3"," 3"," 3"," 1"
"LIN28AP1"," 0"," 2"," 0"," 5","22"," 0"," 9","26","10","11"
"HNRNPCP2"," 6"," 2","14","33","11","22"," 3"," 2","12"," 9"
"LANCL1"," 64"," 86"," 44"," 46"," 24","106"," 52"," 66"," 44","111"
"UGGT1","12","14","16"," 6","10"," 9","12","10"," 5"," 7"
"PRADC1"," 88"," 78"," 61","  9"," 17"," 78","120"," 94"," 68"," 85"
"ACKR3"," 4"," 3"," 0"," 1"," 8"," 2","13"," 1"," 4"," 3"
"ERCC3","14","37","19","31","24","12","31","19","15","15"
"DTYMK","187","114"," 52"," 25"," 60"," 56"," 63"," 59"," 81"," 83"
"KANSL1L","12","29"," 8"," 8","24"," 9","28","18"," 9","16"
"CACYBPP2","11"," 5","10"," 9"," 6"," 9"," 3"," 2"," 2"," 5"
"RBM43","1","6","3","2","2","3","7","1","2","1"
"SP100"," 2"," 8","13"," 0"," 4"," 2"," 9"," 1"," 3"," 1"
"ZRANB3","1","6","2","2","4","1","4","2","2","2"
"SPHKAP"," 0","10"," 0"," 0"," 0"," 1"," 1"," 0"," 4"," 1"
"ASB1","35","28","28","13","36","19","20","31","35","44"
"MREG"," 6","15"," 7","19"," 7","13","10","10","10"," 6"
"TMEM17"," 1"," 7"," 4"," 3"," 2"," 2","14"," 2"," 2"," 2"
"SPATS2L"," 9"," 7","17","14"," 3","10","27"," 8","14"," 4"
"MARCHF4","2","0","0","0","0","0","1","0","0","0"
"PLEKHM3"," 8","14"," 9"," 6","13","10"," 8","11"," 6","13"
"LINC00607","1","0","0","0","1","0","0","1","0","0"
"IQCA1"," 1","10"," 1"," 0"," 1"," 1","20"," 0"," 0"," 2"
"CNGA3","  7","107","  1"," 18"," 55"," 52"," 26","  0"," 38"," 10"
"RPRM","25"," 1"," 0"," 1"," 1"," 8"," 5","20"," 1","60"
"SLC35F5","14","24","17","13","19","13","20","11","12"," 6"
"B3GNT2"," 7","10"," 8"," 3"," 6"," 3","16"," 7"," 3"," 2"
"RAB6C","0","0","0","0","0","0","0","0","0","0"
"PPP1R7","10","26","41","13","10","11","22","10","10","12"
"BIN1"," 8"," 0"," 2"," 0"," 0"," 4"," 1"," 3"," 1","11"
"CCDC93","16","24","16","52","30","15","21"," 8","19","28"
"MTX2"," 77","123","107"," 31"," 55"," 51"," 72"," 57"," 53"," 54"
"WDR75","22","73","21","24","27","21","57","25","26","17"
"RFX8","0","0","0","0","0","0","1","0","0","0"
"FARP2"," 5"," 3"," 1"," 1"," 4"," 2"," 4"," 6"," 5","10"
"FIGLA","0","0","0","0","9","0","5","2","0","4"
"KCNS3","3","1","0","0","0","1","1","3","0","2"
"FAM178B","1","0","0","0","0","5","1","1","1","4"
"SNED1"," 1"," 1"," 1"," 1"," 1"," 1","19"," 2"," 2"," 1"
"D2HGDH","2","4","2","1","1","1","2","1","1","2"
"MARCHF7","15","27","30","21","22","20","40","12"," 8"," 7"
"KCTD5P1","7","0","0","0","0","0","0","2","0","1"
"COL5A2","13","52","18"," 5","26","26","43","17","16"," 3"
"STK25","75","87","35","16","31","48","54","24","30","43"
"ATG4B","63","62","47","71","82","40","63","47","68","46"
"MYO1B","11","38","25","16"," 3"," 8","21","11","19"," 5"
"SEPTIN2"," 98","101","193"," 96"," 38","123","156"," 36"," 69"," 58"
"SNORA10B","19","10","11","69","20","37"," 4","11","14","24"
"RN7SKP203","0","0","0","9","0","1","0","0","0","2"
"SNORD89","0","0","0","0","0","1","0","0","0","2"
"SNORA70I","150"," 34","126"," 64","984"," 35","208","258","241","164"
"KCNF1","154"," 86","  7","131","  2","208"," 79","419","191"," 40"
"SLC66A3"," 42"," 29"," 76"," 19"," 43"," 29","106"," 33"," 35"," 28"
"AIDAP1","0","0","8","2","0","1","2","3","1","1"
"E2F6","16","19","19","21"," 7","13","18","24","15","14"
"GPD2","41","54","37","26","21","21","74","52","22","32"
"NAB1","1","0","1","0","0","0","0","2","0","1"
"GLS","18","43","29","11","24","23","30","17","30","17"
"STAT4","0","0","1","0","1","0","0","0","0","0"
"ATP6V1E2","0","0","0","0","1","0","2","1","0","1"
"RHOQ"," 5","15","15"," 4","11","10","27","12","12"," 6"
"PIGF","1","1","3","1","0","1","1","1","1","0"
"CRIPT","11","20","15"," 8"," 9","14","32"," 5"," 8","13"
"HJURP","60","54","51"," 3"," 5","26","37","81","41","38"
"TRPM8"," 6"," 0"," 0"," 0"," 0"," 0"," 0","18"," 1"," 0"
"FAM168B","27","83","45","19","36","32","49","55","40","42"
"HEATR5B","20","17","24","23","22","19","16","13","22","20"
"CEBPZOS","2","2","6","1","3","3","5","0","1","1"
"NDUFAF7","19","29","27","19","25","14","30","14","24","16"
"PRKD3","10","30","24","12","12","12","22","12"," 8"," 7"
"QPCT"," 3"," 7"," 6"," 9"," 3"," 5","18"," 3"," 6"," 2"
"CDC42EP3","3","8","3","2","6","1","5","1","9","7"
"RAPH1","1","5","5","2","6","2","9","3","3","2"
"WDR54","52","38","35","41","44","24","29","48","43","46"
"CCDC142"," 7","17"," 9"," 2","21"," 6","21","17","10","15"
"TTC31","47","27","27","10","37","17","35","58","41","65"
"PCGF1","48","48","37","80","43","26","46","30","30","27"
"TLX2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","31"," 0"," 1"
"DQX1","0","0","0","0","0","0","1","8","0","0"
"AUP1","108","126","145","123","232"," 94","163","172","113","119"
"ATIC","158","159","141"," 82"," 80"," 67","215","167","102","180"
"SPC25","24","14","13"," 0"," 0"," 4","15","17"," 5"," 9"
"LRP2","0","0","0","0","0","4","0","1","0","3"
"ZNF804A","3","0","3","1","0","0","1","5","1","3"
"EEF1A1P12","0","1","6","3","3","2","3","5","2","3"
"COL3A1"," 65"," 19"," 62","  6","127"," 18"," 84"," 59"," 18"," 14"
"PTCD3","44","58","33","23","28","36","52","73","51","36"
"SNORD94"," 5156"," 3152"," 2857","15541","40888"," 8491"," 2071"," 6316"," 4406"," 9703"
"MRPL35"," 7"," 7","13"," 5"," 4"," 8","10"," 4"," 2"," 2"
"KDM3A","10","18","15","35","28","20","15","18","13"," 6"
"ILKAP","20","35","11","18","17","16","23","18","18","22"
"HES6","136"," 32","  4","  1","  3"," 13"," 12"," 17","  5"," 43"
"PER2"," 2","15"," 6"," 4","10"," 3"," 5"," 2"," 5"," 5"
"TRAF3IP1","21","41","26","32","44","21","48","21","38","40"
"PDE6D","54","44","46","24","22","39","71","35","29","45"
"NPPC"," 0","31"," 0"," 0"," 4"," 4"," 3"," 0"," 6"," 6"
"DIS3L2"," 8","17","10"," 7","13"," 6"," 9"," 4"," 8","13"
"ECEL1","7","0","0","0","0","0","0","1","1","3"
"MIR663B","0","0","0","0","0","0","0","0","0","0"
"CDC27P1","4","3","2","3","1","3","0","4","3","1"
"VPS54","23","33","16","10","23","19","40","37","25","21"
"PELI1","46","29","49","19","16","26","58","59","35","27"
"DIRC3","2","2","4","4","6","1","6","1","1","2"
"GPR148","0","0","0","0","0","0","0","0","0","5"
"GNAQP1","24","11","11","11"," 6","16"," 9","24"," 6","22"
"RHOQP2","0","5","5","0","3","3","4","0","1","0"
"MZT2A","13","14"," 7"," 8","10","38","11","13","14","12"
"ARHGEF4","12","45"," 7","24"," 7","25","20","23","24","47"
