"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"GMPS","20","41","52","23","19","34","26","35","20","28"
"EEFSEC"," 8"," 8"," 8"," 4","10","11"," 9","18","15","12"
"SLITRK3"," 1","10","20"," 2"," 3"," 1","22","15"," 6"," 9"
"SKIL"," 42"," 42"," 58","112"," 44"," 62"," 32"," 41"," 47"," 40"
"P2RY1"," 6","15","10"," 9"," 9","74","11","10"," 7"," 6"
"UBE2V1P2","2","3","0","3","0","9","5","3","3","0"
"SERP1"," 37"," 88"," 62"," 44"," 41"," 83","103"," 67","113"," 86"
"ATP5MC1P4","0","0","1","1","3","1","0","0","0","0"
"TNIK","15","57","46","20","31","44","63","87","30","52"
"PRKCI","10","32","62","34","18","33","47","44","17","28"
"NAALADL2","1","2","1","3","2","1","2","1","1","0"
"DCUN1D1"," 40"," 72"," 81","102"," 29"," 32"," 55"," 52"," 24"," 48"
"SLC31A1P1"," 0","12"," 1"," 1"," 0"," 2"," 0"," 1"," 1"," 0"
"PLOD2","10","28","29","42","19","53","13","11","12"," 9"
"SOX2"," 77"," 97"," 33"," 19"," 53","202"," 68"," 99","474"," 93"
"ATP11B","11","20","14","30","13","12"," 5"," 7"," 6"," 5"
"DHX36","14","19","27","30","11"," 9","14","17"," 8"," 5"
"MECOM","0","1","1","1","0","0","1","1","0","0"
"MAP3K13"," 3","10","13"," 3"," 3"," 2"," 9"," 7"," 3"," 6"
"SLC49A4","14","36","44","49","23","36","36","38","21","38"
"GTF2E1","17","26","19","13","26","16","22","22","29","23"
"SEMA5B"," 1"," 1"," 3"," 0"," 2","11"," 5"," 8","36"," 6"
"LAMP3","0","0","0","1","0","5","0","0","0","0"
"ATR","1","4","4","5","2","2","2","2","1","2"
"WWTR1-IT1","6","0","3","3","6","4","5","0","0","0"
"NAP1L1P3","1","0","0","0","0","0","0","2","0","7"
"PA2G4P4","11","12","19"," 9","12","32","13","14","18","27"
"TIPARP","30","23","17","28","14","38","16","12","13"," 9"
"RPL4P4","1","2","1","1","6","0","0","1","0","3"
"SLC7A14","2","2","3","2","2","0","2","2","0","0"
"SETP14","10"," 6","15"," 7","13","16","16"," 8","51","15"
"SST","   6"," 121"," 684","  19","  24","   1"," 131","1446","  32"," 516"
"GRAMD1C"," 4","27","22"," 4"," 7","12","24","16"," 2"," 9"
"CLSTN2"," 1","15","23"," 3"," 1"," 1","27","44","10","23"
