"","Gene","logFC","padj"
"367","NEK7",-1.56618161984028,9.94693503126998e-05
"368","PEX5L",-3.88099507167412,9.94693503126998e-05
"369","PCLO",-4.05751701955308,9.94693503126998e-05
"370","CKAP4",1.51131978216132,9.94693503126998e-05
"371","CRHBP",-3.43640157166029,9.96830924897245e-05
"372","LPCAT1",1.46808223870705,9.96830924897245e-05
"373","SYP",-2.90285984699311,9.96830924897245e-05
"374","PRKD2",1.57848493172417,9.96830924897245e-05
"375","TCF3",1.88681909115399,9.96830924897245e-05
"376","GFPT2",1.57808934476295,9.99661340384639e-05
"377","GDF15",3.89872821594305,9.99661340384639e-05
"378","TPD52L1",-2.82329374409514,0.000101244233065665
"379","ECD",-0.936471011069122,0.000102183294998872
"380","ATF6B",0.769418317309025,0.000102478026269914
"381","PKP4",-2.99263854412252,0.000103411793461947
"382","PDE8A",-1.68871230079578,0.000107794332318141
"383","SORT1",-1.38208505304609,0.000107834489604483
"384","RNF141",-1.15521262694321,0.000107834489604483
"385","H2BC6",1.79569378777732,0.000108328155345759
"386","AKAP11",-1.54872647483014,0.000108558110502279
"387","ATP6V1H",-1.7350018033573,0.000109563743087275
"388","LGR5",-3.97713208921997,0.000109563743087275
"389","ATP8A1",-3.04199647362554,0.000111867276110533
"390","RBM10",1.11498467803725,0.000111923919704676
"391","STK40",1.57487465969505,0.00011292240769214
"392","GPR21",-1.37820868082025,0.00011292240769214
"393","LACC1",-2.66068415346114,0.00011292240769214
"394","SEPTIN4",-3.70063818223209,0.00011292240769214
"395","LTBP3",1.3583341190525,0.000113272867553872
"396","PDPN",2.72427989565927,0.000115996213433138
"397","RGS7BP",-4.21284596567065,0.000117561298898521
"398","SLC4A10",-5.67318898212968,0.000118499490911035
"399","INPP5A",-1.65087246182668,0.000118707575002415
"400","PLLP",-3.25063975519144,0.000118822682270003
"401","TRIP6",1.56933013158629,0.000119916760789487
"402","MAP7",-2.59621861428195,0.000120306753005082
"403","CRIPT",-1.0521092643708,0.000121373373911834
"404","MTURN",-3.24940566151269,0.000121373373911834
"405","DHX34",1.35929117159316,0.000121735587696432
"406","SEPTIN3",-2.47058052917551,0.00012190278306159
"407","PTPRM",-1.89999787883362,0.000122345956520058
"408","EPHB4",1.75108999244194,0.000123012986384505
"409","CES4A",-3.54388949007557,0.000123524141442228
"410","SCAMP5",-1.70018134768767,0.000124159100511365
"411","ARAP3",2.03949919648096,0.000124876414350191
"412","FAM81A",-2.97588237017175,0.000124876414350191
"413","RUVBL2",1.11382394911506,0.000124876414350191
"414","FAM229B",-1.03892660903399,0.00012594900963131
"415","FMN1",-2.81535304709097,0.00012594900963131
"416","EVI2A",-2.50206691831235,0.00012594900963131
"417","PPIB",1.33399827599479,0.000126211837784294
"418","OLFM3",-5.8522403409978,0.000126740288998253
"419","SCD",-1.82325253713565,0.00012845563340008
"420","USP31",-1.51858389082496,0.00012845563340008
"421","MPPED1",-5.1847539480099,0.00013001150522345
"422","GDI2P2",-2.65185870443314,0.000130994979658556
"423","TNFRSF19",2.82857086537276,0.000131144578933653
"424","LYPLAL1",-1.27897281438745,0.000131344394379595
"425","TULP4",-1.56982269942279,0.000131992296372493
"426","DNAJC12",-2.36580027299907,0.000131992296372493
"427","RPL18A",1.14517748262542,0.000131992296372493
"428","SRRM3",-3.37370663100154,0.000132714758360359
"429","SERTAD1",1.91343721119074,0.000132714758360359
"430","STX1A",-3.64270543195322,0.000134303195757905
"431","EXOC6B",-1.14746091577718,0.000134996785184569
"432","CDH8",-4.43572118802351,0.000136518492557194
"433","BANF1",0.79926774775764,0.000137238773935258
"434","BLVRA",1.00234321318329,0.000137345916102405
"435","H3C7",3.27826406005324,0.0001378593143926
"436","OGDHL",-3.90970394541982,0.000138617752105517
