"","GSM5800224","GSM5800225","GSM5800226","GSM5800227","GSM5800228","GSM5800229","GSM5800230","GSM5800231","GSM5800232","GSM5800233","GSM5800234","GSM5800235","GSM5800236","GSM5800237","GSM5800238","GSM5800239"
"ENSG00000148468"," 45"," 49"," 46"," 41"," 42"," 35","  8","  8"," 40"," 35"," 20"," 20"," 62"," 72","104","101"
"ENSG00000148481"," 2"," 1"," 4"," 2"," 4"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 9"," 8","10"," 6"
"ENSG00000148482"," 5"," 4"," 3"," 2"," 5"," 1"," 6"," 5"," 3"," 3","10"," 9","12","11"," 6"," 5"
"ENSG00000148484"," 6"," 6"," 9","10","17","15"," 0"," 0"," 3"," 4"," 2"," 2","23","20","23","25"
"ENSG00000148488","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","1"
"ENSG00000148498","10","11"," 5"," 5","12","10"," 4"," 3"," 3"," 3"," 4"," 4","13","13"," 8","10"
"ENSG00000148516","28","26","18","17","31","24","29","21","28","28","18","19","32","32","43","37"
"ENSG00000148541","113","110"," 49"," 45"," 58"," 82","  1","  1"," 59"," 62"," 67"," 58","156","137","347","346"
"ENSG00000148572","0","0","0","0","2","0","0","0","1","0","0","0","3","4","2","1"
"ENSG00000148600","14","14","22","22"," 8","10"," 5"," 5","11","10"," 8"," 8","11","10"," 5"," 6"
"ENSG00000148604"," 96"," 85","165","150"," 67"," 65","104"," 99"," 46"," 39"," 48"," 43"," 58"," 66"," 22"," 24"
"ENSG00000148606","3","2","4","3","3","2","8","5","3","2","5","5","7","7","5","5"
"ENSG00000148634"," 1"," 1"," 2"," 2"," 7"," 3","12","11","10"," 7"," 2"," 2","14","14"," 8","10"
"ENSG00000148655","2","4","0","0","0","0","0","0","0","0","1","1","3","3","5","3"
"ENSG00000148660","44","29"," 6"," 7","21","17","33","28","54","50","22","20","35","35","21","23"
"ENSG00000148671","10","13"," 7"," 6","14","21","10","16"," 3"," 5","20","21","30","25","39","36"
"ENSG00000148672","18","16","12","14","21"," 6","22","19","16","14","11","11","52","44","31","29"
"ENSG00000148680","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0"
"ENSG00000148688","16"," 9"," 0"," 0"," 7"," 0"," 0"," 0"," 1"," 2"," 2"," 3","14","11","11","11"
"ENSG00000148690","13","12"," 2"," 2"," 4"," 3"," 0"," 0"," 6"," 6"," 3"," 3"," 6"," 5"," 6"," 6"
"ENSG00000148700"," 45"," 33"," 22"," 20"," 75"," 75"," 55"," 46"," 33"," 27"," 48"," 46","116"," 89","112","105"
"ENSG00000148702","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
"ENSG00000148704","22","18"," 8"," 8"," 1"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 1"," 1"," 1"," 1"
"ENSG00000148719","10","11","12","11","14"," 9"," 8"," 8","15","16","10"," 9","22","22","20","21"
"ENSG00000148730","33","35","21","21","29","15","19","19","21","21","22","21","40","41","32","34"
"ENSG00000148734","0","0","0","0","1","1","0","0","1","1","1","1","2","2","2","2"
"ENSG00000148737"," 74"," 83"," 75"," 63"," 54","104"," 38"," 35","100","115"," 50"," 40"," 53"," 55"," 87"," 79"
"ENSG00000148773","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"ENSG00000148798","10"," 7"," 9"," 9"," 8"," 5","20","17","10"," 9","16","16","34","33","16","15"
"ENSG00000148803","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","1"
"ENSG00000148814"," 4"," 6"," 4"," 6"," 8"," 4","60","57"," 4"," 4"," 2"," 2","18"," 6"," 3"," 5"
"ENSG00000148824","12","16"," 5"," 6","12","12"," 0"," 0"," 5"," 4"," 6"," 7","24","23","29","26"
"ENSG00000148826","130","135"," 74"," 82"," 51"," 43"," 14"," 12"," 81"," 75"," 61"," 69","184","155","278","258"
"ENSG00000148832","0","0","1","0","0","0","0","0","0","0","3","3","4","3","3","3"
"ENSG00000148834"," 4"," 1"," 5"," 5"," 3"," 5"," 0"," 0"," 0"," 0"," 2"," 2","19","18","16","15"
"ENSG00000148840","22","25","14","13","16","14"," 3"," 3","13","13","11","12","21","20","22","23"
"ENSG00000148841","12","10"," 7"," 7"," 8"," 3"," 5"," 5"," 5"," 4"," 5"," 6","14","14","14","12"
"ENSG00000148842"," 5"," 6"," 8"," 7"," 9"," 7"," 2"," 2","25","27","14","12","11"," 9","22","16"
"ENSG00000148843","2","3","2","1","3","3","2","3","0","0","0","0","5","5","4","3"
"ENSG00000148848","1","1","2","1","1","0","0","0","1","1","1","1","3","3","3","3"
"ENSG00000148908","10","10"," 6"," 7"," 1"," 2"," 0"," 0"," 0"," 0"," 3"," 3"," 7"," 4"," 4"," 4"
"ENSG00000148925"," 6"," 5","18","19"," 9"," 7","13","16"," 4"," 4","18","17","19","15","16","15"
"ENSG00000148926"," 4"," 4"," 3"," 3"," 3"," 1"," 0"," 0"," 0"," 0"," 1"," 2","14","14","10"," 8"
"ENSG00000148935","0","0","0","0","1","1","0","0","0","0","1","1","2","2","1","2"
"ENSG00000148943"," 6"," 4"," 1"," 1"," 3"," 3","16","13"," 3"," 3"," 3"," 2"," 6"," 5"," 3"," 3"
"ENSG00000148948"," 6"," 8"," 3"," 3","10","11","18","17"," 7"," 6","12","12","12","15","14","14"
"ENSG00000148950","2","2","0","0","1","0","0","0","0","0","0","0","2","2","1","2"
"ENSG00000148985","19","24"," 8"," 7"," 8"," 8","31","32","14","10","17","14","20","15","32","33"
"ENSG00000149016"," 3","15"," 4"," 5","13"," 0","25","25","11","10"," 3"," 3","15","19","12","13"
"ENSG00000149021","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0"
