"","Gene","logFC","padj"
"132","ENSG00000168899",1.01708802565621,5.01991718848054e-10
"133","ENSG00000163399",-0.253574181570293,6.58742051277853e-10
"134","ENSG00000124193",-1.11596897167376,6.89852241607673e-10
"135","ENSG00000228408",1.85010822641643,8.21796741915115e-10
"136","ENSG00000168874",-0.31453004298699,8.28635630244582e-10
"137","ENSG00000121900",-0.714132131483724,8.50579059264169e-10
"138","ENSG00000165424",-0.0341213250834598,8.9924411148386e-10
"139","ENSG00000158195",-0.0195899346589115,9.09856982446033e-10
"140","ENSG00000264057",-1.30442027503655,9.5649482200854e-10
"141","ENSG00000060138",0.0014590079555668,1.05137486414548e-09
"142","ENSG00000170027",-0.294956136023299,1.06410843969912e-09
"143","ENSG00000262902",-1.36105584721544,1.08719460662073e-09
"144","ENSG00000160221",-2.47127650933035,1.11822825750445e-09
"145","ENSG00000169668",-2.3240677945375,1.14763173838805e-09
"146","ENSG00000126247",0.407889063644314,1.27966385615017e-09
"147","ENSG00000279263",-4.12807053159433,1.45408597053303e-09
"148","ENSG00000012223",4.8714159620857,1.56744712266894e-09
"149","ENSG00000237973",-1.1349275008692,1.56744712266894e-09
"150","ENSG00000175582",0.21544132348816,1.74369595437428e-09
"151","ENSG00000056998",-0.0134763959103385,2.50978826874152e-09
"152","ENSG00000149658",-0.55857232503972,2.52618981803669e-09
"153","ENSG00000100285",0.356976113381268,2.74868949212785e-09
"154","ENSG00000100427",-0.162565551921917,2.79776515080287e-09
"155","ENSG00000101236",-0.278666412777689,2.86931435816405e-09
"156","ENSG00000143036",-0.965888659386936,2.86931435816405e-09
"157","ENSG00000228998",-2.79083561384604,3.14564557985066e-09
"158","ENSG00000215030",-2.97239930107302,3.51007465117315e-09
"159","ENSG00000270021",-1.25911686332701,4.10631526150946e-09
"160","ENSG00000148604",1.59030281038978,4.25708543774434e-09
"161","ENSG00000173267",-0.897389417388647,4.25708543774434e-09
"162","ENSG00000100142",0.22945252283313,4.28961020697928e-09
"163","ENSG00000189241",-0.513212443520785,4.62898050330921e-09
"164","ENSG00000206077",-1.12854916266392,4.62898050330921e-09
"165","ENSG00000124374",-0.808204293364721,4.93498837798068e-09
"166","ENSG00000070087",-0.272554617773854,5.05502323863914e-09
"167","ENSG00000133318",0.0233642237393087,5.05502323863914e-09
"168","ENSG00000132639",-0.457136229772343,5.088231581472e-09
"169","ENSG00000169902",-1.19191312573505,5.36441895186805e-09
"170","ENSG00000128262",-1.56976299298616,6.28116947650164e-09
"171","ENSG00000164924",-0.00724813982039706,6.28116947650164e-09
"172","ENSG00000278925",-1.82013489058998,6.34462300675603e-09
"173","ENSG00000132000",-1.08860365211998,6.67890139665317e-09
"174","ENSG00000090924",-0.384767183385538,6.94373726818592e-09
"175","ENSG00000149577",-0.25835631105017,7.34341150976887e-09
"176","ENSG00000102003",-0.784664532404078,7.44339016231079e-09
"177","ENSG00000170525",-0.0865439849029514,7.44339016231079e-09
"178","ENSG00000173548",-0.626628903867127,8.56010931034969e-09
"179","ENSG00000241370",0.803944526480982,9.22134143230877e-09
"180","ENSG00000125851",-0.806054029089867,1.0268380093389e-08
"181","ENSG00000166164",-0.395808327300748,1.03081202170125e-08
"182","ENSG00000241839",0.150661536368591,1.03081202170125e-08
"183","ENSG00000128245",0.127371310510659,1.15128685742892e-08
"184","ENSG00000168913",-0.425322290960395,1.16053385240027e-08
"185","ENSG00000185774",-1.8529803783982,1.1707516246264e-08
"186","ENSG00000262877",-1.2185582881242,1.2264233143954e-08
"187","ENSG00000177706",-1.17249731517572,1.23919758079388e-08
"188","ENSG00000198830",-1.07287623387369,1.37637611004116e-08
"189","ENSG00000270118",-3.0877308851678,1.40420268136906e-08
"190","ENSG00000154319",-1.47549321701933,1.4964315564833e-08
