"","GSM5800240","GSM5800241","GSM5800242","GSM5800243","GSM5800244","GSM5800245","GSM5800246","GSM5800247","GSM5800248","GSM5800249","GSM5800250","GSM5800251","GSM5800252","GSM5800253","GSM5800254","GSM5800255"
"ENSG00000106025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ENSG00000106028","7","6","4","5","8","9","3","4","4","8","4","3","1","1","4","4"
"ENSG00000106034","0","1","0","0","3","5","0","0","0","0","0","0","0","0","1","1"
"ENSG00000106049","1","1","0","0","3","4","0","0","0","0","1","2","2","2","1","1"
"ENSG00000106052","13","11"," 2"," 1"," 5"," 4"," 2"," 2"," 4"," 4","13","12","12","11","11"," 9"
"ENSG00000106066","2","2","1","1","0","0","1","1","0","0","4","2","2","0","1","1"
"ENSG00000106069","26","11"," 6"," 4","22","17"," 6"," 5","16","19","14","17"," 9"," 4","29","21"
"ENSG00000106070","56","49","22","21","19","19","17","15","15","16","22","17","17","20","25","30"
"ENSG00000106077","6","9","0","0","0","1","3","4","5","3","5","4","0","1","3","4"
"ENSG00000106078","43","47","54","55","59","62","55","51","43","42","34","34","43","41","62","65"
"ENSG00000106080","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"ENSG00000106086","1","2","6","6","1","1","3","2","1","1","1","1","1","1","2","1"
"ENSG00000106089","11","12","60","60","16","25","25","25","30","29","31","35"," 2"," 2"," 6"," 6"
"ENSG00000106100","5","4","2","2","3","2","2","2","3","5","1","1","3","3","3","3"
"ENSG00000106105","16","13"," 7"," 6"," 8"," 5","17","12","13","15"," 5"," 7","18","16","25","20"
"ENSG00000106113"," 4"," 4","12","10"," 2"," 2"," 0"," 0"," 5"," 4"," 6"," 5"," 0"," 0"," 0"," 0"
"ENSG00000106123","12","19","35","32"," 6"," 5","10"," 8","26","26","31","34"," 2"," 2"," 5"," 4"
"ENSG00000106125","3","5","3","4","1","0","0","0","2","2","2","2","1","1","1","1"
"ENSG00000106128"," 0"," 0"," 3"," 4","11"," 6","10"," 7"," 3"," 2"," 0"," 1"," 4"," 1"," 1"," 3"
"ENSG00000106133","12","12"," 6"," 6"," 8"," 9"," 4"," 5"," 7"," 6"," 3"," 4"," 1"," 2"," 7"," 9"
"ENSG00000106144","8","8","3","3","9","8","4","4","5","6","3","2","3","4","8","8"
"ENSG00000106153","29","22","18","23","16","17","17","17"," 8"," 5"," 9"," 8","13","11","10","12"
"ENSG00000106211","764","784","300","333","398","395","372","419","268","256","187","197","172","178","302","316"
"ENSG00000106236"," 7"," 7"," 3"," 3"," 3"," 3"," 4"," 5"," 3"," 3"," 1"," 0"," 4"," 4","11","11"
"ENSG00000106244","5","2","6","8","3","3","2","1","2","1","3","6","4","4","7","6"
"ENSG00000106245","15","17"," 3"," 3"," 5"," 7"," 9","10"," 7"," 6"," 3"," 1","11","14","18","13"
"ENSG00000106246","1","1","1","1","1","1","1","1","1","1","3","3","1","1","3","2"
"ENSG00000106261","24","22","16","14","11","16","19","10","16","18","20","15","18","15","38","34"
"ENSG00000106263","3","4","4","4","0","1","6","5","2","2","7","4","6","7","6","7"
"ENSG00000106266"," 9","10","11","10","16","12","19","19","11","15","15","15","12","14","21","21"
"ENSG00000106268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000106278","66","59","21","18","47","59","31","25","40","52","17","15","55","51","50","58"
"ENSG00000106290","18","19"," 7"," 7","18","21"," 9"," 9","14","15","14","15","11","11"," 9"," 9"
"ENSG00000106299","5","5","6","6","5","5","7","7","4","4","4","4","4","4","4","4"
