"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"PCSK7","4","5","3","7","6","5","6","6","6","6","9","8","7","7"
"DDX6","188","147","173","148","117","104","100","107","115","107"," 98","121"," 98"," 90"
"AGBL2","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ARCN1","140","114","121"," 97"," 84"," 86"," 79"," 74"," 85"," 80"," 70"," 96"," 65"," 63"
"HIKESHI","22","23","15","19","17","15","13","12","16","13","13","15","12","11"
"VWCE","3","2","2","4","3","4","4","4","3","3","6","3","3","4"
"NUMA1","34","26","29","34","29","28","27","38","27","31","45","38","36","36"
"BIRC2","51","64","49","50","46","32","35","30","40","41","32","38","33","30"
"PGR","1","1","1","0","1","1","0","2","1","1","2","0","1","1"
"GRAMD1B","92","74","84","71","58","73","76","69","60","57","53","76","61","63"
"EPS8L2","3","2","3","4","6","3","2","5","6","6","5","5","5","4"
"OTUB1","52","38","53","36","28","45","39","37","39","35","31","46","25","27"
"ODF3","1","2","1","1","1","2","1","3","1","1","2","1","2","1"
"PSMD13","47","37","44","29","34","40","39","34","29","35","34","42","22","23"
"PAMR1","33","15","14","26","19","24","31","21","25","16","30","19","36","28"
"CHRDL2","0","1","0","1","0","0","0","0","0","0","1","1","0","0"
"LDHAL6A","5","3","2","5","2","1","2","2","1","3","2","2","4","4"
"TRIM3","24","18","21","18","17","18","19","19","19","19","18","25","13","16"
"SELENOH","21","24","20","16","18","16","16","17","19","17","16","19","15","18"
"MDK"," 5"," 7"," 3"," 6"," 4"," 6"," 2"," 5"," 4"," 4","14"," 6"," 4"," 7"
"TNNI2","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SCYL1","78","54","66","52","45","60","56","58","50","50","48","59","45","44"
"MSANTD4","56","54","55","52","48","38","52","43","41","41","41","42","48","45"
"PHLDB1","15","10","12","11","15","20","11","15","13","27","42","28","12","11"
"WNT11","0","0","0","0","1","1","1","0","0","1","0","1","0","1"
"FOLR2"," 3"," 2"," 4"," 1","10"," 6"," 2"," 5"," 2"," 9","12"," 4"," 2"," 1"
"INPPL1","25","16","19","22","23","21","23","30","20","22","29","20","19","21"
"CD44"," 3"," 2"," 2"," 1","33"," 3"," 1"," 3"," 4","36","11"," 2"," 2"," 3"
"MYO7A","4","3","3","4","4","3","3","4","3","5","4","5","3","3"
"HPX","1","1","0","2","1","1","1","1","0","1","2","1","1","1"
"NAT10","33","28","32","39","37","29","33","35","30","39","41","42","40","34"
"CNTN5","23","22","19","15","15","13","13","16","18","12"," 5","16","14","14"
"NAV2","26","20","19","41","24","23","31","32","29","22","42","34","33","34"
"NUCB2","17","16","16","18","14"," 9","11","15","13","14","14","12","16","15"
"PANX1","70","65","60","50","41","46","34","37","35","36","26","43","27","21"
"ARPC3P3","14","20","17","18","10"," 7"," 8"," 9","14","14","13"," 9","10","14"
"GPR83","30","19","18","21","14"," 6","10","19","12","10","11","10","14","15"
"DPP3"," 9"," 9"," 9"," 8","10","14","11"," 7"," 6"," 9","10","11"," 7"," 8"
"CD59","80","55","61","55","87","56","53","50","43","80","52","38","47","45"
"FBXO3","30","32","29","29","26","20","20","19","22","24","18","24","20","19"
"AMPD3","12","10"," 9","15","15","10","10","12","12","14","21","12","12","13"
"BET1L","20","13","17","14","13","18","18","17","15","18","24","18","13","18"
"GAS2","10","12"," 9","13","12"," 8"," 9","12","11"," 8","10"," 8"," 9","11"
"H2AX","30","24","23","25","20","24","16","29","27","28","30","27","20","23"
"APLNR"," 8"," 9","16"," 4","50","11"," 3"," 8","10","65","36","11"," 7"," 7"
"HTR3B","27","22","15","20"," 9","10"," 7"," 7"," 8"," 6"," 7","16","12","13"
"IFITM2"," 4"," 4"," 3"," 2","25"," 7"," 2","20","13","37","22"," 4","18","13"
"ANAPC15","10"," 7"," 6"," 5"," 4"," 5"," 6"," 7"," 6"," 6"," 7"," 8"," 5"," 6"
"LRRC51"," 8"," 5"," 5"," 7"," 6"," 6"," 8"," 8"," 6"," 7","11"," 5"," 5"," 7"
"ZP1","1","1","1","1","2","1","1","2","1","1","2","1","2","1"
"HPS5","16","16","11","19","19","13","14","15","15","17","20","11","14","14"
"GTF2H1","33","31","32","30","23","21","24","21","21","18","20","24","19","19"
"LDHA","150","141","196","104"," 99","121","113","101","128","117"," 91","128"," 82"," 88"
"SAA1","0","0","0","0","1","0","1","2","1","0","3","0","0","1"
"RNU2-60P","0","0","0","0","0","0","0","3","0","3","3","0","0","0"
"LAYN"," 5"," 3"," 4"," 2"," 4"," 6"," 3"," 3"," 4"," 7","10"," 6"," 3"," 3"
"SIK2","62","59","71","52","49","60","63","58","49","52","55","66","44","46"
"RN7SKP273","1","1","0","3","1","3","0","3","2","1","2","0","8","2"
"HOATZ","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"TMEM86A","12"," 8","10"," 7"," 8"," 8"," 9","10"," 8"," 9"," 9","10"," 7"," 6"
"IGSF22","4","3","4","4","4","4","5","6","3","4","5","6","6","5"
"IGSF22-AS1","6","4","4","5","4","4","6","5","3","3","3","6","5","5"
"PTPN5","115"," 93"," 82"," 88"," 61"," 81"," 76"," 73"," 66"," 60"," 72"," 99"," 87"," 79"
"JAM3","28","25","27","14","24","28","16","24","17","31","51","28","20","18"
"PTP4A2P2","11","14"," 7","11","19","15","18","23","14","18","35","18","18","17"
"VPS26B","77","58","72","55","43","53","54","49","52","49","42","58","44","44"
"THYN1","84","91","81","58","67","67","61","57","54","69","53","66","54","50"
"ACAD8","35","30","24","30","27","27","24","25","21","24","21","27","23","24"
"ATM","15","17","13","18","20","12","14","15","14","18","17","13","16","15"
"GLB1L3","7","6","5","9","9","6","8","9","5","7","7","8","9","9"
"DEAF1","42","31","39","37","28","31","35","35","30","30","32","34","30","32"
"SHANK2","32","26","34","37","26","24","28","30","26","24","28","33","36","35"
"NCAPD3","5","5","5","6","5","5","6","5","5","5","6","6","5","6"
"AP2A2","44","30","43","38","29","36","33","36","32","31","31","39","32","31"
"DHCR7","18","10","13","14"," 7","17","13","10","14"," 9"," 9","10"," 8"," 9"
"FOXRED1","18","17","17","16","16","16","19","19","14","17","19","24","18","17"
"TSPAN4"," 4"," 3"," 4"," 4"," 5"," 3"," 4"," 5"," 3"," 5","10"," 4"," 4"," 4"
"TAF10","6","5","6","5","5","4","5","6","5","6","7","6","6","6"
"TMEM216"," 6"," 7"," 6"," 8"," 5"," 6"," 7","10"," 5"," 8"," 8"," 6"," 5"," 5"
"DENND2B"," 7"," 5"," 6"," 7"," 8"," 8"," 9","10"," 7"," 8","11","10"," 8"," 7"
"SBF2","12","11"," 9","16","13"," 9","12","13","11","13","16","12","14","13"
"ASCL3","0","0","0","1","1","0","2","0","3","1","1","1","1","1"
"VPS11","42","34","41","30","24","36","29","28","31","27","33","32","22","24"
"COLCA1","2","1","1","2","2","1","1","2","2","1","3","1","3","3"
"COLCA2","3","1","2","3","3","3","3","3","3","2","5","2","4","5"
"RPS2P39","0","2","0","3","1","0","2","2","1","1","2","1","1","1"
"DDX10","10","11","10","12"," 9"," 6"," 8"," 7"," 8"," 9"," 8","10"," 9"," 9"
"RNF26","30","18","22","18","13","25","24","19","20","17","20","19","15","17"
"USP2","35","17","29","32","21","18","22","22","27","25","23","26","22","23"
"THY1","233","191","235","153","103","199","187","169","162","112","114","184","134","124"
"DUXAP5","1","1","0","2","2","1","0","1","1","1","0","0","1","0"
"CCDC153","1","1","2","1","0","1","1","1","1","1","1","2","0","1"
"CCND1","19","25","18","18","18","16","18","27","20","15","23","16","15","14"
"LTO1"," 9"," 7"," 6","12"," 9"," 7"," 8","10"," 7"," 9","12","11","10","10"
"SETP16","1","0","0","1","1","1","1","1","0","0","3","1","0","3"
"BCL9L","7","5","8","8","6","5","6","9","7","6","8","8","8","7"
"UPK2","1","1","0","1","0","0","1","1","0","1","1","2","0","0"
"RN7SL688P","8","0","3","5","6","4","1","0","4","2","6","3","9","8"
"FOXR1","1","0","1","0","0","0","0","2","0","0","0","1","0","1"
"HMBS","3","2","4","2","2","3","3","3","3","3","3","4","2","3"
"SLC22A25"," 5"," 5"," 3","14"," 5"," 3"," 4"," 3"," 6"," 4"," 5","11","16","15"
"CELF1","94","66","80","94","65","53","67","61","62","59","56","78","68","73"
"SMIM38","3","2","1","4","3","3","2","4","2","3","6","3","3","2"
"MIR3164"," 7"," 4"," 4","15","19","11"," 4"," 5"," 7"," 8"," 0","10"," 5"," 4"
"TMEM138","7","6","4","6","8","6","6","9","6","7","8","8","6","9"
"RN7SL23P"," 5"," 1"," 3"," 3"," 3"," 3"," 2"," 3"," 8"," 8"," 6","13"," 4"," 5"
"MIR4488","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"RIC3-DT","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LMO1","1","1","2","0","1","1","1","0","1","2","1","3","1","1"
"STK33","3","1","3","6","4","3","4","6","4","4","8","3","5","5"
"CARNS1","32","19","22","15","16","52","19","22","21","35","88","46","15","16"
"ANKRD42-DT"," 5"," 7"," 6"," 8"," 9"," 4"," 7"," 8"," 7","11","11"," 8","12","11"
"ANKRD42","26","26","24","30","25","17","22","18","19","21","16","21","20","19"
"CKS1BP4","0","0","0","2","0","0","0","0","0","0","0","3","2","2"
"PCF11","33","34","31","34","32","20","25","30","26","31","32","26","31","33"
"BTBD18"," 7"," 5"," 4"," 6"," 7"," 5"," 6"," 8"," 4"," 7","11"," 9"," 7"," 8"
"SPTY2D1OS","1","1","1","2","1","1","1","2","2","2","2","1","3","1"
"LBHD1","1","2","1","1","1","1","1","2","1","1","2","2","1","2"
"CARD16","1","3","2","1","3","1","0","1","1","4","2","1","1","2"
"CWF19L2","40","48","45","51","45","31","36","46","41","41","51","51","38","40"
"PAX6","3","1","2","3","4","2","3","3","3","3","5","2","2","3"
"LINC02731","2","3","4","3","2","3","3","4","4","3","4","3","3","2"
"LINC00900","3","2","2","4","2","2","2","3","2","2","2","1","3","2"
"CD44-DT","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"IRAG1-AS1"," 5"," 3"," 2"," 4","12"," 2"," 7"," 7"," 6"," 5","14"," 3","12","10"
"CTTN-DT","2","3","2","4","4","1","2","4","4","3","3","3","4","4"
"NAV2-AS2","3","2","5","5","6","5","3","7","4","4","6","4","6","4"
"LRP4-AS1","2","1","1","4","2","1","3","3","2","1","4","1","3","4"
"CCDC83","0","0","0","1","0","0","0","1","0","1","0","1","1","1"
"SYTL2","62","64","60","73","56","36","45","48","52","51","47","62","52","52"
"PTPRJ-AS1","11","10"," 4"," 8"," 8"," 4"," 7"," 5"," 9","10","10"," 7","17","16"
"NUP160","12","13","10","14","19","10","10","14","12","15","15","12","12","14"
"HYOU1","113"," 92","121"," 79"," 69"," 92"," 85"," 83"," 80"," 70"," 74","105"," 65"," 67"
"KCTD21","11"," 8","12"," 9","10","10"," 9"," 9"," 9"," 9"," 8","11"," 9"," 9"
"USP35","21","16","17","19","16","17","18","21","17","17","20","20","16","14"
"GAB2","39","30","42","33","34","39","36","41","47","39","72","52","28","30"
"ZNF75CP"," 3"," 6"," 3"," 7"," 8"," 6"," 5"," 7"," 8"," 7","13","10"," 8"," 5"
"LINC02728","0","1","1","0","2","1","1","2","1","1","3","0","1","1"
"RNU6-311P","0","0","0","0","6","0","3","0","0","6","0","0","0","0"
"ATP5MG","25","28","24","25","19","17","17","15","19","18","14","16","15","14"
"NARS2","5","6","4","4","6","3","4","4","4","6","5","3","3","3"
"EMSY","13","11","12","13","15"," 9","11","13","11","14","14","13","14","14"
"MIR4686","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"ASCL2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"C11orf21","0","1","0","0","0","1","0","1","1","1","1","0","0","0"
"TSPAN32","2","1","1","3","2","2","2","3","2","1","3","3","2","1"
"RNU6-878P"," 0"," 0"," 0","19"," 6"," 0"," 0"," 7"," 5"," 0"," 0"," 0"," 0"," 0"
"CD81-AS1","3","2","3","4","3","1","3","2","3","3","3","3","3","2"
"RPL26P30","4","5","3","4","2","4","5","4","3","4","4","3","7","4"
"DGKZ","107"," 88","102","112"," 60"," 84"," 95"," 91"," 85"," 59"," 82","107"," 80"," 78"
"CD3D","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CASP1","1","2","2","1","5","2","1","1","1","4","2","2","1","1"
"CLPB","25","21","22","19","17","19","21","18","18","18","14","21","17","16"
"NXPE2","1","0","0","1","2","1","1","1","1","1","2","1","1","1"
"NXPE1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"SNX15","0","0","1","0","1","1","1","1","1","1","1","2","1","1"
"SAC3D1","10","10"," 8"," 8"," 5"," 9"," 6","11"," 8"," 6"," 7","10"," 5"," 5"
"NAALADL1","1","1","0","1","1","1","0","0","0","1","1","0","0","0"
"CDCA5","6","4","4","2","3","4","3","4","3","2","2","3","2","3"
"ZFPL1","5","4","2","2","3","3","3","2","3","2","3","4","2","2"
"TMEM262","0","0","0","1","0","0","0","0","0","1","1","0","0","1"
"VPS51","51","41","40","37","30","34","31","36","33","33","33","42","27","28"
"TM7SF2","25","17","28","25","12","22","18","18","21","16","22","24","16","16"
"ZNHIT2","11"," 9"," 8"," 7"," 6"," 8"," 6"," 9"," 7"," 7"," 7","10"," 6"," 5"
"FAU","129","134","125","100","100","107"," 87"," 94","108","118","129","108"," 96"," 91"
"SYVN1","18","12","16","19","13","19","17","22","15","16","24","20","15","16"
"MRPL49","38","27","34","26","23","27","24","28","23","25","22","28","19","25"
"RNU2-23P"," 1","18"," 6","13","13"," 9"," 8","12","21","22","22","10","17","13"
"PGAM1P8","2","1","2","2","1","1","1","1","1","1","2","1","2","2"
"CAPN1-AS1","4","3","3","2","1","1","4","3","2","3","2","2","2","3"
"CAPN1","39","30","36","30","29","36","32","27","24","26","25","33","22","23"
"TSSC4","23","18","18","16","12","18","18","16","13","12","15","20","11","12"
"FXYD2","1","1","1","2","3","1","1","1","1","2","2","2","3","2"
"FXYD6-AS1","4","3","3","7","5","4","4","6","3","6","5","7","5","7"
"FXYD6","94","55","89","64","52","68","56","62","65","53","55","87","59","57"
"IL10RA","2","2","2","1","5","2","2","3","3","5","6","2","2","1"
"CAVIN3","3","2","2","1","1","2","1","3","2","1","1","1","2","1"
"SMPD1","41","31","35","35","23","38","36","28","36","32","34","34","29","26"
"APBB1","260","199","234","152","120","209","167","147","157","140","149","219","122","120"
"DNHD1"," 7"," 5"," 5"," 9"," 9"," 8","10","11"," 8"," 7","12","10","10"," 9"
"TMEM9B-AS1","3","1","3","4","4","2","2","4","3","4","6","2","3","4"
"NRIP3","103"," 96"," 92"," 50"," 36"," 78"," 68"," 55"," 65"," 33"," 33"," 66"," 39"," 40"
"AKR1B1P3","1","2","3","3","4","1","2","1","1","4","5","3","3","3"
"RN7SL188P","2","1","1","3","6","1","4","0","1","1","0","0","0","0"
"C11orf58","49","50","45","51","38","31","30","33","36","35","39","40","35","30"
"RN7SKP90","0","0","0","0","0","0","1","1","0","0","0","1","0","0"
"OR7E14P","0","0","0","0","1","0","1","1","1","0","2","0","0","1"
"KCNK4","2","2","2","2","1","1","2","1","1","1","1","2","3","1"
"C11orf97","5","7","5","6","4","2","3","4","7","6","2","5","5","6"
"PIWIL4","6","7","4","6","9","5","5","7","5","6","7","5","7","6"
"FUT4","5","5","4","6","3","3","4","4","4","4","4","4","4","4"
"LINC02700","2","5","3","2","2","3","3","3","5","3","4","5","3","3"
"SPDYC","0","0","0","0","1","0","1","0","1","1","1","1","1","0"
"TSSC2","1","1","0","2","1","0","1","1","0","1","1","0","1","1"
"INTS4","7","6","5","7","7","5","7","7","6","6","8","6","5","6"
"MTRF1LP1","2","3","2","4","0","4","1","3","4","3","2","1","4","1"
"ZW10","28","32","24","27","29","22","25","24","20","23","25","22","22","22"
"RPS29P19","2","4","0","5","2","2","4","0","2","0","0","0","2","2"
"ATF4P4","1","1","2","1","0","1","1","1","1","2","0","1","0","0"
"LRRC37A13P","1","0","0","0","1","0","2","0","1","0","0","1","1","0"
"RNU6-1107P","0","0","3","4","9","3","3","0","0","3","0","4","4","0"
"KRT8P7","0","1","0","1","1","1","0","0","1","1","1","0","1","1"
"NECTIN1","46","35","53","43","23","38","36","30","35","26","42","50","35","35"
"RNU6-1123P"," 8"," 3"," 9"," 0","12"," 3","12"," 4"," 8"," 9","15"," 8","15","18"
"NECTIN1-AS1","5","4","4","2","3","5","5","6","6","3","5","9","3","5"
"NECTIN1-DT"," 2"," 1"," 0"," 4"," 3"," 6","10"," 5"," 2"," 3"," 1"," 8"," 3"," 4"
"FLI1","4","4","3","2","6","3","1","5","4","4","5","3","3","3"
"USP28","21","28","18","32","34","18","20","28","20","29","25","27","30","32"
"MOB2","18","16","14","16","11","16","16","16","11","12","17","14","13","13"
"ST13P11","0","0","0","1","0","0","0","0","0","0","1","2","0","0"
"CWC15","44","49","47","43","41","33","32","33","32","42","39","42","34","31"
"KDM4D","4","2","2","4","2","3","2","2","2","1","2","1","1","2"
"SRSF8","47","38","40","32","22","25","27","25","35","24","20","28","22","22"
"ENDOD1","119","105","107"," 76"," 77","102"," 85"," 73"," 72"," 76"," 98"," 87"," 65"," 62"
"BUD13P1","5","5","5","5","8","4","7","7","8","8","9","6","5","8"
"SESN3","176","163","150","190","135"," 85","120","112"," 99","100"," 88"," 85","109","100"
"TRAF6","23","22","22","22","25","15","15","17","17","24","16","17","20","18"
"RAG1","1","1","0","1","1","1","1","0","0","1","1","0","0","0"
"SLC22A10"," 6"," 7"," 3","11"," 5"," 3"," 4"," 3"," 5"," 3"," 4"," 9","13","11"
"CHST1","64","43","59","58","44","46","51","66","52","52","46","58","61","57"
"LINC02716","1","2","1","1","1","1","2","4","0","1","1","1","2","2"
"SLC35C1","13"," 6","10","10"," 6","10"," 8"," 7"," 8"," 8"," 7","10"," 7"," 7"
"C11orf80","15","18","15","22","22","15","17","21","17","17","15","18","19","20"
"RCE1"," 8"," 9"," 7"," 8"," 9"," 9"," 9","10"," 7"," 9"," 9","10"," 9","11"
"PC","40","32","29","30","29","35","37","35","30","30","37","32","33","31"
"LRFN4","25","20","18","19","11","12","14","16","16","13","14","18","13","16"
"RNU7-23P"," 0"," 6"," 0"," 7","20","10"," 0"," 7"," 5"," 0","19","13"," 7"," 0"
"MIR3163"," 8"," 0"," 0"," 6"," 4"," 0"," 4"," 0"," 0"," 4"," 0","16"," 6"," 0"
"SLC37A4","9","5","6","7","5","6","7","6","6","6","5","6","6","5"
"POLA2","2","1","1","1","2","2","1","1","2","2","2","1","1","1"
"CDC42EP2","1","0","1","0","1","1","0","1","1","1","1","1","1","1"
"DPF2","14"," 9","12","12","12","12"," 9","13","10","11","17","12","11","12"
"SLC25A45","3","2","3","3","2","3","3","3","3","2","4","3","2","2"
"FRMD8","12"," 9"," 9"," 7","10","10"," 9","13","10","12","16","16","12","10"
"RELA","13","11","11","10","14","10"," 9","12","10","14","14","13"," 9","13"
"RNH1","27","21","22","20","17","27","20","21","17","20","28","24","17","17"
"FAM86C2P","1","1","1","1","1","2","1","1","1","1","1","1","1","1"
"ENPP7P7","1","1","1","3","2","1","1","0","2","2","2","2","1","1"
"LINC02754","0","1","0","2","1","0","1","1","1","0","2","1","1","2"
"RNU6-46P","0","0","6","0","0","3","0","0","0","0","0","0","0","3"
"RPS3AP40","1","0","0","1","4","1","1","1","1","0","2","1","3","1"
"ALDH3B1","1","1","1","2","1","1","1","1","1","1","3","2","2","1"
"NDUFS8","29","24","25","21","11","20","20","19","21","16","15","26","18","16"
"MIR6753","2","0","0","0","2","0","0","0","0","2","0","0","0","2"
"CHKA","40","40","32","50","33","41","43","43","47","35","57","53","49","54"
"CHKA-DT","0","1","0","0","0","0","0","1","0","1","1","0","1","0"
"C11orf24","13","10","11"," 8"," 5","12"," 9"," 8","10"," 8","11","14"," 8"," 9"
"LRP5","5","4","4","5","3","6","6","9","5","2","6","4","5","5"
"NDUFA3P2","10"," 9"," 1"," 7","23"," 4","11","23","12","24","17","12","19","11"
"APLP2","290","241","297","216","174","213","207","206","211","180","192","258","153","161"
"ZBTB44","65","56","59","60","46","34","40","38","39","38","30","39","39","36"
"NDUFAF2P2"," 2"," 4"," 3"," 8"," 7"," 4"," 7"," 9"," 5"," 5"," 6","12"," 6","11"
"DDX18P5","4","5","4","7","6","4","5","7","3","4","5","2","5","7"
"RN7SL778P","2","1","1","6","4","2","2","5","1","1","0","0","0","0"
"ADAMTS8","27","18","26","25","10","16","11","13","17"," 9","17","27","17","18"
"MRE11","13","18","13","17","18","11","11","12","12","15","14","11","13","13"
"MIR548L"," 0"," 0"," 0"," 0"," 4"," 0"," 0","24"," 7"," 8"," 4","14"," 9","22"
"ANKRD49","14","17","11","12","14"," 9"," 9","11"," 8","15","12"," 8","11","12"
"IRF7"," 6"," 6"," 5"," 8"," 9"," 7"," 7"," 8"," 7"," 6","12"," 5"," 8"," 7"
"GPR137","22","14","20","22","15","20","21","22","21","18","18","24","19","18"
"ALKBH8","14","17","15","15","10","12","11","10","15","10","11","14"," 9","10"
"TCIRG1","2","2","2","2","4","3","2","5","2","4","4","3","3","2"
"TALAM1","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"KCNJ5-AS1","2","1","2","1","2","2","1","2","1","2","2","1","2","2"
"PRDM11","17","14","13","15","10","11","12","12","11"," 9","10","13","11","10"
"CCDC90B","25","26","19","23","19","12","16","16","20","18","12","17","16","14"
"CYCSP28","0","1","1","1","3","0","1","4","2","1","0","3","1","0"
"PLEKHA7","3","2","2","4","3","3","3","4","3","2","4","2","4","4"
"PTPRJ","51","44","43","45","29","30","30","30","28","28","27","37","31","30"
"MIR3161"," 7"," 5"," 8","11"," 0"," 4","12","11"," 7","13","10"," 5","16","10"
"FERMT3","1","1","1","1","2","1","1","1","1","2","2","1","1","1"
"STIM1","31","18","26","22","19","23","22","23","20","19","22","25","21","21"
"TRIM22"," 4"," 4"," 4"," 4"," 8"," 3"," 3"," 4"," 4"," 8","11"," 4"," 3"," 4"
"RSF1-IT1","0","3","0","3","0","3","1","3","3","3","0","4","4","4"
"AAMDC","4","3","5","5","5","5","2","6","4","7","8","6","5","3"
"IGF2"," 3"," 2"," 3"," 1"," 1"," 2"," 1","10"," 2"," 1","19"," 3"," 2"," 2"
"CD81","79","42","51","55","64","64","56","60","48","69","80","51","53","52"
"RIC3","32","32","26","31","28","23","25","26","26","24","26","30","30","26"
"UNC93B1","4","4","3","3","3","4","3","4","4","4","4","2","3","3"
"XNDC1N","2","1","1","3","2","1","1","2","2","1","3","2","3","2"
"IL18BP","5","4","5","6","9","6","7","8","5","9","9","6","6","6"
"HRAS","33","32","36","33","19","32","27","25","33","22","26","34","23","21"
"OOSP3","2","2","1","1","3","2","2","0","0","4","0","1","0","0"
"OR51B5","0","0","0","0","1","0","0","0","1","1","1","1","1","1"
"PRR33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ME3","56","53","60","51","43","49","43","47","48","48","46","59","44","44"
"BACE1-AS","6","4","6","5","4","4","5","5","4","3","5","6","4","5"
"NEAT1"," 52"," 60"," 43"," 76","294"," 81","111","149"," 73","175","244"," 63","107","108"
"RASSF10","2","2","2","1","1","0","1","1","1","1","1","1","1","1"
"PACSIN3","11"," 9"," 7"," 9"," 5","11","11"," 9","10"," 7","12","12"," 6"," 8"
"MIR6745","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"DDB2","7","5","4","6","5","5","4","6","4","7","8","5","4","5"
"ACP2","36","26","35","28","18","30","31","29","28","21","28","30","20","20"
"NR1H3","5","5","5","4","5","4","4","4","5","5","5","5","7","6"
"MADD-AS1","10","14"," 9","20","21","10","15","14"," 9","16","18","18","22","17"
"ARFGAP2","81","53","58","50","41","60","50","46","47","43","55","56","39","36"
"CBL","37","30","35","38","31","28","31","30","28","28","21","27","26","24"
"SLC3A2","46","27","30","31","25","38","36","38","32","28","53","34","29","30"
"TIRAP","5","4","3","6","4","4","4","5","5","5","6","5","6","5"
"TIRAP-AS1","2","1","1","3","4","1","3","3","1","4","3","3","3","4"
"KMT5B","36","32","31","35","26","22","26","25","29","26","28","27","30","27"
"HSD17B12","39","36","30","29","21","27","26","20","27","18","21","19","26","21"
"C11orf96","16","36","20"," 7","12"," 6"," 5","14","10","28","11"," 8"," 7"," 5"
"NUP98","24","23","20","23","25","19","20","23","19","21","23","20","20","21"
"CCDC15-DT","1","2","2","2","2","1","2","1","1","1","2","2","1","1"
"PIWIL4-AS1"," 5","11"," 9"," 5"," 6"," 7"," 7"," 3"," 8"," 8"," 7","10"," 7"," 6"
"MRPL23-AS1","1","0","0","1","1","0","2","2","1","1","0","0","0","1"
"ZNRD2-DT","4","3","3","2","2","2","3","2","3","4","4","3","3","3"
"UVRAG-DT","1","1","2","0","3","0","1","0","1","2","1","2","1","1"
"LINC02723","0","1","3","1","1","2","2","2","2","2","2","1","1","2"
"LINC02151","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ESAM-AS1","1","1","2","1","2","1","2","1","3","2","2","2","2","5"
"HNRNPKP3","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"GATD1-DT"," 8"," 6"," 6","12","10"," 7","10"," 9"," 7"," 5"," 8","10"," 8","10"
"MPPED2-AS1","1","1","0","2","1","0","1","1","1","1","1","1","1","1"
"MALAT1"," 59","104"," 85","199","189"," 41"," 84","128","128","167","194","135","242","245"
"FAM86C1P","3","2","2","5","3","3","2","4","2","4","4","3","4","4"
"ZBTB44-DT","1","0","1","1","1","1","2","1","2","1","1","2","1","1"
"SLC22A18AS","0","1","1","1","1","1","1","2","1","0","1","2","1","1"
"LINC02739","0","0","0","0","1","1","0","1","0","1","1","1","1","0"
"KCTD21-AS1","1","1","1","2","1","0","0","1","1","1","1","1","2","1"
"SYT9-AS1","2","2","2","3","2","2","2","3","2","3","4","2","2","2"
"RPLP0P2","1","1","1","1","1","2","2","1","1","1","3","2","1","1"
"DOC2GP","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"MIR210HG","1","0","1","1","1","1","2","3","1","0","5","1","5","4"
"DPP3-DT","4","4","3","5","7","4","4","7","5","6","6","6","4","5"
"LNCRNA-IUR","3","4","3","7","6","3","3","4","4","4","5","4","5","4"
"LINC02953","1","2","2","1","1","1","1","2","0","1","0","2","0","0"
"EMSY-DT","11","10"," 4"," 8"," 5"," 9"," 8","10"," 8"," 7","13"," 8"," 4","11"
"GSEC","2","2","1","4","3","1","2","3","3","2","3","2","4","3"
"SNHG1","12","12"," 9","10","15"," 9"," 8","11"," 8","14","12","10","10"," 9"
"LINC02696","2","1","1","2","1","1","1","2","1","1","1","1","1","2"
"LINC02552","2","3","1","3","3","1","2","2","2","2","1","2","3","3"
"PPP1R14B-AS1","0","0","0","0","1","0","2","1","0","0","0","0","0","1"
"GVINP1","5","5","5","5","4","4","5","4","4","3","5","7","6","6"
"MIR100HG","15","16","12","20","17","11","14","14","14","14","13","11","15","15"
"LINC02762","3","2","4","4","3","2","3","3","3","2","3","3","2","2"
"OR52K3P","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NTM-AS1"," 5"," 5"," 4"," 8"," 6"," 6"," 7"," 7"," 6"," 5","12"," 6"," 8"," 9"
"TTC12-DT","6","8","4","5","6","4","5","7","6","4","5","6","3","4"
"LINC02714","3","5","4","6","2","1","2","4","3","1","1","1","3","4"
"FZD4-DT","1","1","1","2","1","1","2","2","1","1","2","1","2","1"
"SBF2-AS1","8","7","6","6","6","4","6","6","6","6","4","6","6","6"
"RELA-DT","2","1","1","1","2","2","2","1","1","2","2","2","1","1"
