"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"CHI3L2"," 0"," 0"," 0"," 0","10"," 2"," 0"," 0"," 0","27"," 4"," 1"," 0"," 1"
"DRAM2","14","17","12","18","23","12","13","11","14","18","10","12","11","12"
"RNU7-57P","19","12","15","98","73"," 5","26","40","71","27","45","47","94","75"
"RPSAP17","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"IL6R-AS1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"PSMD8P1","1","1","1","2","0","0","0","1","1","3","3","0","2","2"
"SHE","3","3","2","2","4","3","1","4","3","4","4","1","3","4"
"PLA2G2C","0","1","1","1","0","0","1","1","1","0","1","1","1","1"
"UBXN10","24","15","17","22","17","15","14","15","11","10"," 9","14","15","14"
"SDHC","67","52","50","57","38","54","57","41","48","35","36","38","40","29"
"ARNT","26","25","22","25","24","22","22","29","21","26","33","26","25","24"
"RNU6-1309P","5","7","3","0","0","0","6","0","0","6","0","0","0","0"
"RPS27AP6","1","2","1","1","0","0","2","2","0","0","0","1","0","1"
"CYCSP51","0","1","0","0","0","0","2","0","2","0","1","0","0","0"
"PARP1","41","30","33","29","22","30","27","26","30","26","34","34","27","28"
"NDUFS2","44","37","40","32","31","41","34","29","34","36","28","41","23","21"
"PRDX1","244","161","191","168","165","184","156","126","125","181","163","145","121","114"
"NASP","21","23","20","30","26","19","22","33","26","25","44","35","31","34"
"CCDC17","1","1","1","1","1","1","1","1","1","1","3","1","2","2"
"GPBP1L1","46","41","36","42","38","31","37","35","32","32","33","34","32","30"
"RPS15AP10","10","10"," 5","13","22","13","12","14","10","10","16","11","13","22"
"RPL7AP16"," 6","10"," 5","14","12"," 8"," 9","15"," 8","11","18","13","14","13"
"TMEM69","37","30","32","33","31","26","22","25","26","27","27","23","25","24"
"SLC39A1","0","0","0","0","0","1","0","1","1","0","0","0","0","0"
"GUK1"," 94"," 97","100"," 85"," 61"," 72"," 84"," 74"," 94"," 69"," 74"," 87"," 67"," 70"
"SERBP1","73","65","64","61","53","42","43","45","50","45","48","46","48","47"
"MIER1","30","31","25","33","25","15","21","23","23","20","20","19","25","20"
"SLC45A1","36","25","28","24","14","28","23","21","21","15","19","33","15","15"
"KIF17","19","12","20","13"," 9","16","16","12","15","12","15","15","12","14"
"ZNF669","14","14","15","12"," 9","10","11"," 8"," 6"," 5","12","11"," 5"," 7"
"TOR1AIP2","24","21","22","27","23","16","19","20","19","18","19","19","21","20"
"UCHL5","56","59","54","54","37","24","37","27","38","32","21","36","32","30"
"SMIM1","2","1","1","1","3","1","2","2","2","1","1","1","2","2"
"RNF19B","45","39","50","33","42","35","31","28","32","41","25","39","24","25"
"GMEB1","13","10","12","10"," 9"," 8"," 9","11"," 8"," 7"," 8","11"," 8"," 9"
"CC2D1B","17","12","12","16","12","14","15","16","13","12","20","17","13","13"
"DAB1","18","15","17","19","12","11","13","15","12"," 8"," 9","16","14","14"
"LRRC8B","143","147","132","134"," 82"," 89","101"," 73"," 87"," 60"," 47"," 83"," 72"," 63"
"BTBD8","240","257","203","232","140","137","136","137","140","117"," 81","161","133","126"
"ZC3H11A","0","0","0","1","1","0","1","0","1","1","0","1","0","0"
"CAP1","139","134","132","100"," 95","109"," 90"," 79"," 89"," 87"," 84"," 86"," 61"," 65"
"ACOT7","100"," 78","106"," 73"," 60"," 89"," 76"," 67"," 75"," 67"," 60"," 99"," 64"," 58"
"TOR1AIP1","55","35","41","40","36","32","34","35","35","33","38","29","35","35"
"HSPB11","13","16","14","15","15","11","11","15","12","14","13","13","16","15"
"EPHB2"," 7"," 7"," 9"," 8"," 6"," 8"," 8"," 8"," 7"," 6"," 7","10"," 6"," 7"
"TMCO1","41","40","36","41","30","27","24","25","25","25","23","23","24","23"
"CDK11B","13","10","14","15","12","12","12","16","13","15","16","17","12","15"
"ACOT11","12","10"," 7","19","12","14","16","24","14","11","27","12","17","19"
"AKR1A1","34","27","31","21","22","30","25","21","23","26","23","25","16","15"
"KCNT2","25","36","27","29","26","18","19","23","20","20","22","21","22","20"
"CTSK","3","4","2","4","5","4","3","5","4","4","6","3","4","3"
"EPB41"," 9","10"," 7","13","12"," 9"," 9","12"," 8","11","11","10","11","11"
"HSPD1P14","1","2","1","1","1","1","1","1","1","1","1","1","1","3"
"HMGB4","1","1","1","2","2","1","1","1","1","1","2","3","2","3"
"CSMD2-AS1","2","3","2","2","2","1","2","3","1","1","3","4","4","5"
"AZIN2","13","13","12","13","10","14","17","13","11","10","15","17","13","12"
"TRIM62","13"," 8"," 9"," 8"," 8","11"," 9","14"," 8"," 8","13","12","11"," 9"
"FAM133FP","1","3","0","1","2","2","0","5","1","0","1","1","1","1"
"ZNF847P","0","0","0","1","1","1","1","1","1","2","0","0","0","1"
"SNAP47-AS1","3","1","1","2","3","1","1","3","2","2","2","3","3","1"
"CTSS"," 3"," 6"," 4"," 3","11"," 4"," 2"," 4"," 3"," 9"," 8"," 2"," 3"," 3"
"LIN9","5","5","4","5","5","3","3","4","4","4","3","2","4","3"
"RBMXL1","33","30","27","31","20","20","20","21","18","21","22","23","20","20"
"GBP3","4","4","2","2","7","3","2","3","1","8","4","1","2","2"
"GBP1","3","3","2","2","9","3","2","2","3","8","5","2","3","3"
"PTGES3P1","22","23","36","21","29","16","19","24","37","26","37","31","20","19"
"GBP2","3","3","2","3","7","3","2","4","3","9","7","3","3","3"
"GBP7","0","1","0","2","1","0","1","2","1","1","3","0","1","1"
"GBP4"," 8","10"," 8"," 6"," 5"," 7"," 3"," 3"," 5"," 4"," 4"," 3"," 4"," 3"
"AHDC1","24","17","30","32","25","24","28","35","26","23","30","35","30","31"
"FGR","2","2","1","1","4","5","2","4","4","7","8","3","3","3"
"LINC02574","0","0","1","0","1","0","0","0","1","0","2","0","0","0"
"IFI6"," 74"," 81"," 84"," 83"," 48"," 78"," 44"," 59","114"," 57"," 86"," 69"," 48"," 47"
