"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"RPL6P7","1","2","4","1","0","0","0","2","0","0","1","7","0","2","0","0","0","1","0"
"GMNC"," 0"," 0"," 0"," 0"," 0"," 0"," 0","20"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"RPL7AP24","2","1","1","1","1","0","2","6","1","0","2","3","0","2","0","2","0","1","0"
"ETV5"," 90"," 62"," 75"," 57"," 35"," 83"," 61"," 48"," 30"," 72"," 56"," 31"," 20"," 51"," 49"," 40"," 89"," 88","102"
"C3orf33","1","2","2","2","2","2","2","3","1","1","1","1","1","1","2","1","3","3","2"
"RAP2B","21","37","31","36","31","34","29","33","21","57","32","36","34","22","33","37","39","30","22"
"LINC01998","1","1","1","0","1","0","0","3","0","1","3","2","2","2","1","1","0","1","1"
"ETV5-AS1"," 9","20","17"," 8"," 4"," 7","10","11"," 3","11"," 9"," 2"," 7"," 5","18"," 8"," 7","11"," 8"
"GAPDHP47","0","2","2","1","1","1","0","0","1","1","2","1","0","2","2","2","1","2","0"
"EPHB3","20"," 4"," 5","14"," 9"," 7"," 9","10"," 5"," 2"," 3"," 5"," 8","22","14","36","13","23","37"
"ARF4-AS1","1","0","1","1","1","0","1","0","0","0","1","0","0","2","1","0","1","2","0"
"ST13P15"," 6"," 9"," 6","11","15"," 9"," 7"," 5","10"," 8","12"," 8"," 6"," 6","13"," 7"," 5"," 7"," 4"
"ARF4","164","112","132","172","187","221","183","138","211","197","154"," 86","215"," 85","141","256","201","161","242"
"RBM43P1","1","2","1","1","1","1","1","1","0","4","1","1","2","3","3","1","2","2","1"
"LIPH","0","3","1","1","1","1","1","1","0","2","6","0","0","1","1","1","2","1","2"
"EIF5A2"," 6"," 8","21"," 6"," 9","12","10","18","14","11"," 5","11"," 4"," 8"," 7"," 9","12"," 4","10"
"KLHL6-AS1","3","1","2","1","1","1","0","1","5","6","1","1","2","1","5","0","4","1","0"
"VEZF1P1","2","1","1","1","3","0","1","2","1","1","1","0","1","2","0","2","1","1","0"
"CD96","1","1","0","1","1","0","0","0","0","5","1","0","2","0","1","1","2","0","0"
"U2SURP","57","46","70","55","52","44","50","62","61","43","30","41","39","46","44","79","39","60","60"
"RNU6-1194P","40","53","39","40"," 6","36","10"," 2"," 4"," 7","10"," 4"," 8"," 7"," 5","39","10","12","24"
"RN7SKP144","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","2","0"
"MIR563","18"," 9"," 7"," 4","29"," 2","12","15"," 6"," 5"," 4"," 0"," 2","14"," 6","16"," 0"," 3"," 2"
"RNU6-905P","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","1"
"RN7SL147P","0","0","0","0","1","2","0","1","1","1","1","1","0","0","1","0","0","0","0"
"MIR4791","0","0","0","2","2","2","0","0","0","3","0","0","2","9","7","0","0","2","0"
"MIR3135A"," 7"," 9"," 5"," 4"," 3"," 0"," 2"," 3"," 4"," 4"," 0"," 0"," 0","10"," 8"," 8"," 2"," 5"," 0"
"RNU6-788P","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"RNU4-85P","0","0","0","2","0","0","1","2","1","1","0","0","0","0","1","0","1","0","0"
"MIR548AY","0","2","2","0","0","0","1","0","3","1","0","0","0","0","0","2","0","0","0"
"RNU6-815P","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0"
"RN7SL296P","19","18"," 5","17"," 8","16"," 8"," 5","20"," 9"," 7"," 9"," 5"," 6","17"," 9","11","10"," 7"
"RNA5SP128","0","0","0","0","0","0","0","0","0","0","0","2","3","2","0","0","0","2","0"
"RN7SKP227","28","32","22","19","19","23","15","48","13"," 8","11","19","20","61","51","53","65","70","73"
"RNU7-110P"," 0"," 0"," 0"," 2","10"," 0"," 5"," 0"," 5"," 2"," 0"," 0"," 2"," 6"," 8"," 0"," 2"," 0"," 2"
"MIR128-2","0","2","0","2","2","0","0","7","0","0","0","7","0","4","6","3","2","0","0"
"RNU6-235P","0","0","0","0","0","0","0","0","0","0","0","6","0","2","1","0","0","0","0"
"RNU6-922P"," 0"," 3"," 0"," 3"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 6"," 3"," 2"," 0","13"," 0"
"RNU5B-3P","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0"
"RNU7-73P"," 0"," 5"," 6"," 2"," 3"," 7"," 0"," 0"," 0"," 0"," 0","13"," 7"," 6"," 2"," 3"," 0"," 0"," 0"
"RNU6ATAC4P","0","0","0","0","0","1","1","3","2","0","0","0","0","3","0","0","0","0","4"
"RNU6-367P"," 0"," 7"," 0","20"," 0"," 0"," 6"," 0"," 0"," 0"," 2","12"," 0"," 2"," 8","41"," 0","10"," 0"
"RNU6ATAC29P","0","5","0","0","3","0","0","0","0","3","1","2","0","0","4","2","0","0","0"
"RNU6-856P"," 7"," 5"," 7"," 4","21"," 0"," 2"," 6"," 3"," 8"," 2"," 4","13"," 8"," 8","20"," 6","11"," 1"
"RNU6-1181P","0","0","0","1","4","0","4","9","1","0","0","0","0","0","1","0","0","0","0"
"RNU6ATAC16P","10","16","14"," 7","10"," 2"," 4"," 6"," 4","11"," 6"," 4"," 6"," 8","16"," 6"," 3","15"," 8"
