"","Gene","logFC","padj"
"7230","SPRY4",1.5798417930376,1.74109403676546e-05
"7231","CFAP77",3.40009537328616,1.74257424013901e-05
"7232","MSH6",0.744327055204119,1.74623154948379e-05
"7233","LRP8",-0.962493271784578,1.74725358618469e-05
"7234","NDFIP1",-0.544009800949764,1.75912581298934e-05
"7235","SMAD9",0.951903121509208,1.76154486956361e-05
"7236","WAS",1.48098682796296,1.77340046412669e-05
"7237","TNFSF9",-1.72608885859944,1.77709810328501e-05
"7238","ATXN10",-0.606480617224982,1.77953218877843e-05
"7239","ACP3",2.93775379873579,1.78005016160202e-05
"7240","ZNF83",0.868061948848764,1.78228612698276e-05
"7241","TCFL5",-0.734273096532469,1.78571067051982e-05
"7242","PRMT1",0.663259066123432,1.79089984535441e-05
"7243","ADGRE1",3.99794247332702,1.79213340632687e-05
"7244","CRB2",1.21037268416685,1.80120778701266e-05
"7245","RAB38",2.79345984888991,1.80120778701266e-05
"7246","FAM204A",-0.832559380521907,1.80669744442618e-05
"7247","DBH",-2.15644903598325,1.81292407889691e-05
"7248","UTS2R",-2.7761481716115,1.81687324224033e-05
"7249","BNIP3",-0.779060117092021,1.82124154855591e-05
"7250","EEF1B2P1",-0.977271039174478,1.82395237417909e-05
"7251","KIAA0895L",-0.633518261091499,1.82466994814405e-05
"7252","COX7B",-0.512899071552084,1.82554620230857e-05
"7253","RN7SL856P",-1.81199599823922,1.83323416141903e-05
"7254","VPS26B",-0.516747482541241,1.83636654497052e-05
"7255","VLDLR-AS1",-1.44639054419045,1.83853097409992e-05
"7256","CPSF4",0.669781138755625,1.84683716219793e-05
"7257","PFN2-AS1",-1.43843695811714,1.85503656981569e-05
"7258","MIR4760",-3.59857517319691,1.85576579286582e-05
"7259","ANKRD52",-0.601081143881133,1.85862249921692e-05
"7260","ORMDL1",0.588888245604635,1.86372755163117e-05
"7261","CA4",-1.97635153526188,1.87822858669018e-05
"7262","GPR6",-2.98197581324835,1.89262657911585e-05
"7263","POGLUT2P1",-1.35771543646644,1.90209299023692e-05
"7264","LIG4",-0.609393098709736,1.90494489427065e-05
"7265","ADAMTS5",1.65851900227991,1.90577235596268e-05
"7266","CENPT",-0.662580903925723,1.90598389601046e-05
"7267","MAGED4B",1.36271654617424,1.91784727103609e-05
"7268","DSCAM-AS1",-2.17254613993409,1.91784727103609e-05
"7269","CCK",-3.9283274233587,1.92333737309979e-05
"7270","TAPBPL",1.07354371401368,1.92343721592587e-05
"7271","KRR1P1",-0.835621112140515,1.9237969422285e-05
"7272","COX6CP10",-1.27632788250875,1.92982173347681e-05
"7273","LUNAR1",-2.78898141378161,1.93182080062266e-05
"7274","AGAP2",-2.12598127867449,1.9383037071706e-05
"7275","TRIM66",-0.864278941960829,1.94253058236101e-05
"7276","LINC00404",-2.07565019988117,1.957332317546e-05
"7277","CLDN23",3.11149439452454,1.95791556689128e-05
"7278","ABI3BP",1.75820903246805,1.95957870161123e-05
"7279","NPAS3",0.831853128147306,1.96639457588925e-05
"7280","NUFIP2",0.51389364835499,1.97109708577286e-05
"7281","CNOT2",0.778218970329376,1.98607177485556e-05
"7282","PTMAP12",2.06685144047366,1.9861500838992e-05
"7283","ERCC6L",1.5656217626129,1.98761479934901e-05
"7284","TMEM245",-0.556798813792477,1.99101771837864e-05
"7285","LRRC28",-0.873344668321409,1.99359364040778e-05
"7286","OSTCP1",2.90598426102506,1.99501239939285e-05
"7287","SLC9A9",1.19257411518745,1.99698396594542e-05
"7288","PCBP3",-1.57895931415397,2.00598065917606e-05
"7289","TCTE1",-2.17844428376776,2.00941691332554e-05
"7290","YWHAZP3",-0.798180141604329,2.00941691332554e-05
"7291","MIR1252",-3.19109419640573,2.01073089110865e-05
"7292","ZNF430",0.795659034466668,2.01074671283084e-05
"7293","PLEKHF1",1.34495963960617,2.0291168414061e-05
"7294","MIR6867",-2.36332320427347,2.02965408969838e-05
"7295","LINC00970",-2.94682904733772,2.03073709010237e-05
"7296","LINC02942",-2.34974898227877,2.03147648615322e-05
"7297","BPIFB5P",-3.00628633004197,2.03734111858763e-05
"7298","SELENOO",-0.610504336478372,2.0413673721735e-05
"7299","LINC00621",-2.38053949690644,2.04765545902714e-05
"7300","C10orf88B",-2.37853678996793,2.04985440177703e-05
"7301","DOHH",-0.838722865056983,2.05203109581853e-05
"7302","GFRA1",-1.6690621513628,2.06103169012457e-05
"7303","CAMSAP1-DT",-0.868412919412979,2.0628976591468e-05
"7304","LGI4",-1.5333643721474,2.06566248209668e-05
"7305","ZNF415P1",1.59330076025971,2.06958854812377e-05
"7306","CYP4F35P",-3.09255769946826,2.06958854812377e-05
"7307","LAMB1",1.073871909478,2.07497655634453e-05
"7308","PCSK2",-3.15299879616285,2.08673610312538e-05
"7309","OPCML-IT1",-1.69015593603083,2.08716323083337e-05
"7310","TMEM178B",-0.93970972974164,2.09443140737027e-05
"7311","MMRN1",2.41078275382923,2.09701655383734e-05
"7312","RNU6-294P",-4.41152905031777,2.10143423787359e-05
"7313","ARL4C",0.809773360659488,2.10153639900025e-05
"7314","MRPS9",-0.53859742989879,2.10290800080624e-05
"7315","CSTB",0.760138813246909,2.1034707840703e-05
"7316","GAL3ST3",-1.26503955658048,2.10381863758696e-05
"7317","PPFIA1",0.581409727725709,2.10688893973423e-05
"7318","KIF7",1.13591834318737,2.11166450582966e-05
"7319","SNN",-0.898966041774919,2.11562132006429e-05
"7320","USP40",0.667582561922023,2.12711026784734e-05
"7321","INSM1",2.02738361795547,2.13007550314908e-05
"7322","PLAAT4",2.13480907247693,2.14119518070719e-05
"7323","PCDHGB6",1.67474476556126,2.14149536088843e-05
"7324","LINC01587",3.38236481574272,2.14226199575151e-05
"7325","MED28P6",-1.45816680388548,2.14328409953907e-05
"7326","UQCRH",-0.671731336279942,2.14567051451886e-05
"7327","SLC10A4",1.58721811494586,2.15484372200537e-05
"7328","MAPRE3-AS1",-1.42624838438601,2.15669626564984e-05
"7329","OR8T1P",-1.64902871670946,2.15936370491006e-05
"7330","P2RY8",3.55640424670895,2.16101304344973e-05
"7331","CDK2AP2",0.726489476824031,2.16465356460351e-05
"7332","OPRL1",-1.94246556478073,2.17548723137301e-05
"7333","OPCML-IT2",-2.0877641775433,2.18314413775119e-05
"7334","DOK2",3.61846981450649,2.19045900047508e-05
"7335","SST",-3.23580901116602,2.19113879091703e-05
"7336","SPEF2",-1.35832192967906,2.19569575518236e-05
"7337","ACSS3",1.63313320188744,2.19569575518236e-05
"7338","SH3BGRL3",0.804271353029946,2.20183557323415e-05
"7339","KCNG3",-3.34459400292743,2.20616737680072e-05
"7340","CD320",0.711535692103027,2.21137186571936e-05
"7341","SCRG1",1.01102266408561,2.21313719117427e-05
"7342","SHISA4",-0.618457624632363,2.21474555181827e-05
"7343","SPCS2",0.556797476297266,2.22038857475453e-05
"7344","RN7SKP170",2.73037795088148,2.22845485810743e-05
"7345","ALDOC",-1.71131649506275,2.23019713579829e-05
"7346","CDT1",1.382348081429,2.23341422274029e-05
"7347","BOLA3",-1.03858428494038,2.2397493407664e-05
"7348","HNRNPCP6",-1.13921298694214,2.24041386475315e-05
"7349","APEX2",0.866406117790861,2.24458184205754e-05
"7350","DPP10-AS3",-2.09237163002994,2.24593929395913e-05
"7351","DPP10-AS2",-1.76918176952837,2.25069044980561e-05
"7352","PLCL1",-1.50057286223329,2.25098701062313e-05
"7353","KLC4",-0.736278611378216,2.25420978805744e-05
"7354","CPQ",1.04390276852686,2.2551185444301e-05
"7355","RALGAPA1P1",-0.703067832595112,2.25615672461103e-05
"7356","DCUN1D5",-0.835228108101503,2.25881251687479e-05
"7357","EIF4A1P8",-1.69390923435269,2.27083912033089e-05
"7358","ELOCP2",-0.98751304206795,2.27128898538287e-05
"7359","RNU7-43P",-3.04213875451384,2.27584633218545e-05
"7360","POLR3GL",0.675919690265799,2.27622682140448e-05
"7361","NANOGP11",-2.85255058834322,2.28390148831313e-05
"7362","TBX19",2.53673440642256,2.28564316367553e-05
"7363","LEFTY2",3.97133904520805,2.28704463530327e-05
"7364","CLECL1",3.20329904294799,2.28704463530327e-05
"7365","FKBP7",1.66561609920969,2.28886976595922e-05
"7366","RN7SL68P",1.28660284034635,2.28926310019769e-05
"7367","STIL",1.22163733585357,2.29424267516568e-05
"7368","ZNF614",0.896829252993295,2.29800108905028e-05
"7369","EHBP1",-0.631711039784927,2.30208855030192e-05
"7370","ITGA9-AS1",-1.38207566777572,2.30254001658721e-05
"7371","HMGA2-AS1",4.12810349726037,2.30334347987521e-05
"7372","ESF1",0.621738624575801,2.32050144262126e-05
"7373","ARG2",-0.830150869658418,2.32151233938759e-05
"7374","LMCD1",1.53387802446776,2.32428298934476e-05
"7375","RERGL",-1.71871653481481,2.32817103613948e-05
"7376","C8orf88",1.22461380514229,2.33185401983971e-05
"7377","SMYD3",-0.703592816103107,2.33403074630731e-05
"7378","NUP62",0.691014169923322,2.33893035545062e-05
"7379","LRAT",3.01159369932119,2.34489160952452e-05
"7380","WASHC2A",-0.516734827907956,2.3468182025379e-05
"7381","AOAH",1.82292258331191,2.36109913724625e-05
"7382","NEBL-AS1",-2.03112346852766,2.36568832325723e-05
"7383","NPM1P46",0.884979629055595,2.36578853888263e-05
"7384","MTFR1",0.816498623410467,2.37647213168129e-05
"7385","CFAP58-DT",-1.66388311666062,2.38179972632078e-05
"7386","RETSAT",0.565110334479535,2.38210044061703e-05
"7387","MOK",-0.909904001586283,2.38519318101298e-05
"7388","MORF4L2",-0.527380419299949,2.38847727096809e-05
"7389","TINF2",0.567774802669932,2.39387514989786e-05
"7390","NANP",1.03431994695514,2.40418286434932e-05
"7391","CDCA8",1.4737353526035,2.40548005434974e-05
"7392","LINC02610",-2.02989049938461,2.4076169157246e-05
"7393","ATP6V1FNB",-1.37661189949349,2.41388507936857e-05
"7394","PLD6",-1.09424326166851,2.41691641369588e-05
"7395","ADGRB1",-1.72604591065043,2.42092527416229e-05
"7396","ZSCAN31",-0.98746829709559,2.42246514559657e-05
"7397","SFXN3",-0.7886021756317,2.42510400723386e-05
"7398","BNC2",3.30314987464043,2.42801057640173e-05
"7399","ENPP7P12",-1.56658749271894,2.43170849763968e-05
"7400","ZCCHC7",-0.5746915043358,2.43879802083803e-05
