ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_33_P3353425	4.80E-01	2.02E-01	-1.30107488	-5.56020549	-7.88E-02	USP37
A_24_P109082	5.71E-01	2.80E-01	-1.09701813	-5.79496378	-2.36E-01	USP37
A_33_P3378509	3.71E-01	1.27E-01	-1.56036385	-5.21019057	-3.43E-01	USP38
A_33_P3399840	9.66E-02	1.43E-02	-2.57529222	-3.35265987	-2.48E-01	USP39
A_32_P101301	7.27E-01	4.60E-01	0.74655505	-6.10984146	4.56E-02	USP39
A_24_P291598	9.87E-01	9.63E-01	-0.04717872	-6.38498574	-3.87E-03	USP4
A_23_P343594	9.93E-01	9.79E-01	0.02635202	-6.3857508	3.09E-03	USP40
A_24_P135276	3.38E-01	1.09E-01	-1.64444838	-5.0847845	-1.53E-01	USP42
A_33_P3270218	7.69E-01	5.17E-01	0.65395795	-6.1737323	1.01E-01	USP42
A_24_P310009	1.80E-01	3.83E-02	-2.15085116	-4.21565207	-3.32E-01	USP43
A_23_P72770	8.33E-01	6.19E-01	-0.50119887	-6.26104568	-1.05E-01	USP44
A_23_P134008	2.16E-01	5.17E-02	2.01236297	-4.47184727	1.57E-01	USP45
A_33_P3862375	7.94E-01	5.54E-01	-0.59706742	-6.20889573	-2.02E-01	USP45
A_33_P3289996	9.29E-01	8.15E-01	-0.23516411	-6.35849043	-2.61E-02	USP45
A_33_P3289995	9.37E-01	8.34E-01	-0.21058887	-6.36395554	-3.65E-02	USP45
A_24_P377225	3.15E-01	9.67E-02	-1.70562127	-4.99001522	-4.26E-01	USP46
A_23_P148204	1.23E-01	2.08E-02	2.41849021	-3.68443832	2.52E-01	USP47
A_33_P3308706	3.71E-01	1.28E-01	1.56004672	-5.21065275	1.30E-01	USP47
A_23_P403588	5.11E-01	2.26E-01	-1.23318648	-5.64238332	-1.67E-01	USP47
A_23_P200551	2.25E-01	5.51E-02	-1.98255452	-4.52523599	-1.12E-01	USP48
A_33_P3612740	6.41E-01	3.53E-01	-0.94093277	-5.9492769	-1.78E-01	USP48
A_33_P3389973	4.41E-01	1.73E-01	-1.39008383	-5.44643217	-1.08E-01	USP49
A_33_P3389967	5.53E-01	2.63E-01	1.13694026	-5.75194263	1.09E-01	USP49
A_23_P331770	9.69E-01	9.14E-01	-0.10899854	-6.38016312	-1.85E-02	USP49
A_23_P64954	5.94E-03	2.13E-04	-4.11833619	0.51373284	-4.56E-01	USP5
A_33_P3301920	2.71E-01	7.49E-02	-1.8342669	-4.78125357	-4.05E-01	USP50
A_33_P3301915	3.53E-01	1.17E-01	-1.60574308	-5.14321573	-3.09E-01	USP51
